,exp1,exp2,exp3,exp4
AT3G01470,46.88799989,36.50041064,24.11983525,21.5535231
AT1G51070,54.22875457,58.14571473,48.13334414,37.91486708
AT1G25250,5.184503687,7.802475819,27.08776619,23.44445854
AT1G08970,16.55591316,16.10532334,18.62455657,27.29642208
AT4G31550,38.10075278,36.81468206,18.75948026,26.24165185
AT4G36900,3.49096923,24.10189744,23.30198473,7.483936012
AT1G18710,27.34302101,11.87292344,3.48696637,2.963210864
AT5G24800,29.86676859,13.08643162,8.65900584,8.750527177
AT1G07900,3.823308201,0.230998716,0.222165899,18.38700889
AT5G54680,65.81858964,58.49423613,52.54357943,45.99089824
AT1G01520,24.50597821,3.621630065,0.740562091,9.498088312
AT2G26580,8.908825095,18.38761991,31.00588987,29.28961559
AT4G30935,5.738511196,8.394021108,16.34878178,28.52867348
AT4G37540,21.30763406,9.021439963,4.660405741,26.56158934
AT5G03740,18.29155504,15.98095289,15.6143209,20.61452198
AT2G31370,31.72519241,37.91649631,33.9920631,19.39500035
AT2G31070,29.10169332,48.27806509,33.20554592,26.1312606
AT2G25900,13.39261921,16.61035439,34.94911893,21.22215249
AT3G16940,26.51751449,13.61021533,7.498878436,21.18518333
AT4G28140,2.073085296,2.518621252,22.93612728,9.338967172
AT4G23750,21.48790436,26.18207485,11.18575958,7.440025319
AT2G22840,1.941324218,19.20314158,20.30501304,4.928091842
AT5G09330,16.09454464,13.73057749,18.22960625,27.67518664
AT2G43010,27.86292408,22.27569065,19.86519146,7.268130767
AT1G03040,19.94169733,18.36996829,18.12362871,27.91930531
AT1G70000,23.28719044,8.697237795,2.760131505,4.809008536
AT4G17490,19.92259549,2.244107438,3.080848599,0.721999711
AT5G60890,20.69096613,4.936537003,1.329984404,1.087112251
AT5G56860,32.70814795,23.09037424,18.21704331,34.47147314
AT1G18400,7.189210427,23.85813107,9.299959823,8.673833484
AT3G54220,23.11684701,11.93595861,3.824064886,4.835118605
AT1G54830,6.937050696,12.3941813,21.59610879,23.29104839
AT4G16780,21.6980753,6.510716195,4.299978821,3.969990405
AT4G17880,24.91887036,19.05127933,5.648300941,10.33703854
AT4G36990,22.07388321,11.08122059,5.009866569,2.931168441
AT5G67420,17.6935736,5.094728575,10.77078403,22.9859337
AT5G28300,8.212679977,22.1293132,24.5682498,12.87989635
AT5G41410,14.23451948,16.93406648,33.03018241,20.29194352
AT2G34710,23.72931378,20.164945,11.94680168,8.856947597
AT1G78080,48.93659645,31.26442955,42.39955414,35.45298954
AT4G17230,31.06455429,13.17380911,27.26567153,22.14789247
AT5G20730,11.92702938,22.46537597,25.39426205,29.47660199
AT2G23760,18.75196053,18.5487638,32.28778865,28.99463539
AT1G74250,12.31689859,16.98291336,16.3087038,27.27399243
AT5G43270,11.5714972,19.34400181,3.77899493,3.700050574
AT5G49330,2.477677281,16.38008369,17.03164155,11.44677434
AT4G01060,19.6644693,11.71507696,4.524939157,3.57708552
AT1G71260,13.13153444,10.71353392,7.083341503,12.40439272
AT1G29950,29.52759151,17.0203401,11.88036949,17.63713934
AT4G40060,24.27367078,6.986527177,11.09316899,13.7259199
AT2G30424,5.004527292,18.1266594,7.683652464,2.269013991
AT3G46640,3.378272368,15.1783562,17.95231443,7.27092584
AT5G48150,33.15777885,21.62352982,17.96113471,20.05991368
AT1G52890,5.926713499,4.439144406,5.56415153,7.925389895
AT4G24540,20.72189905,15.00435383,9.970831848,7.35091464
AT4G28610,31.31357198,29.09130293,31.45119922,34.55533714
AT4G36730,34.11154662,36.94833221,23.95706957,25.04136714
AT5G53200,15.14871165,3.265622363,0.324009242,0.468023362
AT5G39660,17.42871883,10.77604249,11.10793434,25.66458347
AT4G32040,13.51469084,17.10265862,22.23325922,26.27206116
AT2G31280,9.629522499,7.150028239,7.370297668,12.00831564
AT5G18550,8.082323084,9.761567796,21.9737341,17.8307471
AT3G11450,14.22148347,16.73274334,22.52338938,28.58990755
AT2G21240,13.01154335,15.83346916,19.48829029,24.01112345
AT3G11090,19.68630281,16.06492947,7.725910918,6.338058532
AT4G18020,21.67521886,17.61848694,13.62160414,7.454051055
AT3G15030,19.70344901,22.03511796,22.9539432,22.06940071
AT5G11060,21.86065348,25.25390091,24.48201816,24.76538858
AT4G35580,12.06753829,9.670552464,13.9746368,23.89586378
AT2G28200,16.55377346,4.991556386,1.536329309,6.666929466
AT4G12750,0.59701213,0.660904172,7.70436602,13.40689478
AT3G58120,1.849221922,13.38536019,0.611970477,0.152000674
AT2G27050,31.75702253,31.8751564,40.88286529,38.78362394
AT3G02150,11.8219437,21.91558135,26.44359451,20.12611527
AT5G22290,9.307913877,3.667993839,3.620546688,12.13813
AT2G28500,4.680740647,3.335625815,15.99951448,8.434836822
AT2G37630,20.14012176,10.38657603,7.084170912,9.747206275
AT1G72050,12.62898658,17.75200719,17.80822951,21.38417319
AT5G16540,29.18317496,24.89831032,19.52575079,15.64316603
AT2G40750,10.48838855,12.50569181,10.10457891,3.543900553
AT3G50750,13.03348707,10.3693288,5.14075451,1.31602856
AT5G51980,25.05626911,21.26004436,13.81608042,15.06895722
AT5G44210,0.24437892,2.213351252,12.73861716,6.773834896
AT3G54390,16.41128221,12.68315256,6.081854118,3.809138854
AT2G22300,8.911874136,13.45184192,20.00996002,19.38670984
AT4G38620,19.13838175,15.92688545,7.245705341,18.23476414
AT4G29100,22.27740903,14.01576651,12.19683397,9.610030357
AT5G15310,11.45455325,3.941908864,3.232438416,10.06315766
AT2G33480,8.884117585,4.301989603,4.221726842,15.54589914
AT2G45160,19.2075529,32.46345896,28.24878153,24.84497596
AT2G24570,14.38032919,10.89617041,4.43439227,10.54622508
AT4G34610,21.72494524,31.82497889,23.87083615,21.31793492
AT1G08810,11.98300429,17.19852692,21.30285277,19.00870111
AT5G44260,0.882806169,5.069844869,11.65084783,9.280101565
AT4G26150,12.12252013,4.437474492,0.344038251,0.940035781
AT1G19490,16.13766723,9.216262697,3.473631149,13.3069613
AT2G28510,10.30289686,14.96035736,17.74334478,7.534971536
AT4G17460,11.23198454,5.958358839,0.963952507,0.224013221
AT5G26880,26.43980919,25.44910436,26.26246595,33.52206193
AT3G19580,9.407474499,1.486670171,6.707433217,13.4566929
AT2G47850,5.127147871,5.895671069,11.12320839,14.37002323
AT5G52510,25.45630215,32.21681035,22.95005654,23.83087177
AT5G17490,0.380621715,3.610091193,12.10966267,6.853856429
AT4G01460,11.06012696,1.33385983,0.242016623,0.501036615
AT3G23210,17.16202401,12.09307375,4.878224374,8.374079487
AT1G30500,10.92977563,4.571799629,3.010970991,2.55928772
AT2G16400,9.139018406,19.61982363,18.24604634,18.96798373
AT4G17570,12.81922104,13.96795757,21.42702497,21.81576289
AT5G65060,5.761224695,6.928326036,9.468201911,12.6141221
AT5G63420,5.869635713,3.977996021,3.947371732,9.739136287
AT4G38960,16.61383898,10.5844976,6.670987998,6.484209837
AT2G40950,7.58568327,5.941371347,8.834342915,14.17705192
AT2G02740,9.716179063,10.6454931,6.697220523,10.13326051
AT1G13960,5.19656299,8.120484561,11.89525653,15.89191602
AT5G12840,21.61066011,14.65261068,11.62030633,16.39314511
AT5G62610,29.66513414,25.16824344,19.27505288,20.09912217
AT3G46090,9.910217842,0.656137089,1.723904243,0.231995186
AT5G07690,31.9092075,27.79415917,29.03353572,21.80032642
AT1G14410,9.918066812,10.26467499,7.733147743,10.03527196
AT4G34990,1.490641739,4.823329758,7.392350553,12.85378291
AT1G10320,8.29027052,9.695114241,10.5852797,14.94310757
AT3G58070,9.668337659,6.228450232,1.946687499,12.65791044
AT2G39250,15.80205,10.87036062,21.46885842,19.2629896
AT4G35040,15.11319293,16.11462904,13.22544926,20.22510025
AT1G35560,17.78092601,12.20347154,8.087252742,12.02486503
AT1G56650,11.16331065,2.390922342,1.786006161,1.882130479
AT4G36870,17.0936397,10.02952532,6.332150118,8.671040851
AT3G08505,19.50795007,14.05530108,8.611196392,11.67103386
AT4G13040,15.3780258,15.51176857,13.70871677,9.2959131
AT5G37020,20.35781997,19.42204564,11.98809216,13.42420618
AT3G10490,6.277068545,6.633389574,9.668170976,12.33210381
AT2G46510,13.53823247,4.3601738,5.713986586,5.50495671
AT2G46870,8.129303444,9.705006931,9.758694309,4.996342562
AT4G00270,12.59853732,10.1960851,10.85956164,19.60986663
AT1G18570,12.31235974,3.79498203,3.655141903,5.865904692
AT1G07530,13.46627572,14.89888813,21.81694769,21.0018339
AT5G04760,10.52567166,3.628303444,5.992436811,12.79791942
AT1G10585,1.411914512,0.968032347,1.220215774,4.582164334
AT5G18830,14.64006098,9.763494773,5.82828772,10.31113879
AT1G72210,2.586979013,2.479005834,10.31351711,2.789948078
AT5G67180,8.396618441,11.60833476,14.21554111,7.065936205
AT4G36240,13.31032938,9.82745113,5.551933381,4.514066234
AT3G19290,9.581819204,8.643092933,9.367406069,15.69399971
AT4G30080,5.896979783,5.792931641,13.04998043,12.74485928
AT3G47640,9.862450431,1.815924909,1.231129708,3.252083402
AT2G20880,0.664015403,0.744045825,1.101175726,3.839160034
AT4G25210,29.09163076,32.36775001,38.20967056,33.07691779
AT5G58340,9.279264686,5.460548299,1.941929915,0.850047044
AT3G25710,13.52503768,8.528062383,9.013673451,3.926137795
AT1G51600,7.784670812,11.26858455,15.82193704,14.84100857
AT1G75540,6.571275968,13.1971403,14.28992953,13.19205529
AT1G64380,1.732169821,2.614238494,4.472365892,10.1727934
AT1G22640,7.401068102,2.562034401,2.830395479,8.992012451
AT4G20970,1.933112829,2.519493932,6.367193183,9.376770331
AT4G39070,0.069155053,6.067165842,7.358679612,2.366944805
AT2G31730,2.724179891,8.850433416,4.436807331,1.434975579
AT5G46760,25.33111341,25.91894898,17.7323191,22.70399429
AT3G57800,11.86408761,12.31815795,5.759152813,8.14016934
AT4G09180,14.20035614,10.85673108,8.761815417,5.886054297
AT4G24660,10.24713376,5.748454853,1.502187984,4.430995732
AT4G16141,6.313638658,9.629400171,4.957008343,5.087227102
AT1G66350,9.574253134,5.69544176,1.347105577,2.992040113
AT4G04450,0.275146716,1.037856935,7.712574998,1.090988448
AT2G27470,6.572414926,8.726840448,7.484065785,8.509189492
AT3G46130,11.68762185,9.723364487,4.773510426,12.72590989
AT1G30970,9.057063346,9.386236954,11.23219293,14.23805603
AT3G02990,2.215946089,1.935993967,1.88916597,4.47514463
AT5G39860,7.810629879,0.696040562,1.011987806,0.822038893
AT1G76350,7.293748792,11.18128721,5.628890252,3.918999519
AT1G75410,25.00952679,27.74566285,32.90887286,30.92792943
AT3G03450,7.463797967,1.221874207,0.242022591,0.594020088
AT5G57150,3.50217733,4.423770292,10.42361485,4.422956389
AT4G02640,20.39561517,23.59042256,26.8820396,27.49897253
AT1G19510,5.172129387,5.84468429,11.17455055,4.171988576
AT3G20910,5.752059495,6.061084333,6.718130222,8.747134907
AT5G59450,3.832194466,4.842771832,10.85465824,5.529937713
AT4G17810,8.398674663,11.90188191,10.98168526,6.077969932
AT3G22170,12.51852506,15.24556735,19.66496002,19.04195799
AT3G12480,14.95541275,11.90609627,12.65625056,16.56008327
AT1G01060,161.9990509,115.523857,75.45913281,30.78916535
AT1G01250,11.76162276,4.60992093,3.994279634,8.351258037
AT1G01720,20.89933831,7.078535777,11.2540668,43.45478606
AT1G02230,0.098988255,0.03800077,0.043997946,0.012000128
AT1G02250,0,3.98E-06,0.030998781,0.012001412
AT1G03800,0.320958219,0.103999487,0.099999101,0.085999069
AT1G03840,0.211040626,0.422000513,0.425990758,0.282010526
AT1G06180,3.938725052,2.510732368,0.426155766,2.853047718
AT1G06280,0,0,0,5.13E-07
AT1G06850,3.826768566,2.624899365,1.84095809,1.18802625
AT1G08010,5.444015403,5.524152364,6.710817343,3.865008761
AT1G08320,6.16E-06,0.031996663,0.006000321,0.011000225
AT1G09540,0.028011167,0.085993967,0.039000128,0.040998877
AT1G12260,1.359981901,1.266024645,1.457968295,0.964002086
AT1G12610,0.364935691,0.031026827,0.239989089,0.069998331
AT1G12630,0.169015211,0.24798588,0.137997818,0.103998973
AT1G13260,119.0308401,284.3662716,278.6791353,78.24408033
AT1G13450,9.098108208,9.659944677,9.229123162,11.14800709
AT1G14687,0.830296513,2.370302289,4.72490758,3.284939799
AT1G16490,0,0,0,0
AT1G18330,1.169870092,5.68767589,3.162909121,1.747092067
AT1G19000,136.8864397,45.69757046,18.98441235,40.9895386
AT1G19040,0.244958219,0.02800629,0.076995058,3.56E-06
AT1G19210,0.425926449,0.044005263,0.085006354,0.184006964
AT1G19790,2.62E-05,0.135982543,0,1.12E-06
AT1G19850,4.271862526,3.557940312,3.092962647,2.511030839
AT1G20910,5.846287271,7.338040947,7.657108144,9.342039535
AT1G20980,21.03302638,21.17120864,30.58588229,28.7518614
AT1G22070,9.829456551,32.97122874,34.75269739,30.03791647
AT1G22810,0,0,0,0
AT1G24250,4.24E-06,0.022000257,0.02399846,1.41E-06
AT1G25340,0,0,0,0
AT1G25550,44.26415815,34.70173377,48.206525,40.80590553
AT1G27730,128.3767563,28.45937032,101.4448966,21.93352141
AT1G28160,0,0,0,0
AT1G28370,28.49274671,1.214604963,5.926758682,2.166951448
AT1G28470,0.787019447,0.888027469,1.101975483,0.72
AT1G29160,0.592991336,0.54800231,0.566203772,3.740960946
AT1G29280,0.100069507,0.461091136,1.170946345,0.335004717
AT1G29860,0.049004236,0.070990886,1.86E-06,0.028999647
AT1G30210,9.147591735,17.41433097,27.78157371,21.13999888
AT1G30490,9.792717985,13.52040518,8.887032668,9.396168056
AT1G30650,1.93E-06,0.009998716,1.03E-06,0.015999679
AT1G31140,0.015996919,0,0,3.85E-07
AT1G32150,10.28479167,9.202776909,7.464940441,6.537093414
AT1G32870,11.65687562,11.01215127,19.98051447,27.99575486
AT1G33240,43.79311706,44.39639198,8.501800207,5.389098324
AT1G34180,0.047995572,0.024996791,6.16E-06,0.096001669
AT1G34190,19.84477979,23.89539246,34.74245305,41.80078942
AT1G34370,17.50665279,10.51103209,10.76143533,17.5438495
AT1G34670,5.58E-06,0.028996278,0,0
AT1G35460,12.96404866,8.02334703,2.937048071,3.686018901
AT1G36060,0.03000231,0.041996149,0.011999872,0.009999679
AT1G43160,0.130992683,0.093027084,0.304218598,3.710405234
AT1G43700,18.24203601,18.42944387,21.88721173,25.18608953
AT1G44830,0.379975932,0.254989089,0.169998524,0.146996374
AT1G45249,31.73288854,15.57516553,9.075621137,18.75352747
AT1G46768,2.902296107,20.02057761,40.10037493,61.52112294
AT1G47655,2.211810732,1.228931712,0.697065079,1.711001701
AT1G49010,30.92144589,12.46501522,4.794319169,9.767257748
AT1G49480,15.85798685,10.59665779,7.930998395,7.906028464
AT1G49560,3.737401505,11.0185742,38.85915398,25.67771799
AT1G50640,27.5659056,21.88326917,23.97977858,20.52983342
AT1G51140,50.49590729,24.04930166,10.8196524,5.404822053
AT1G51220,0,0,0,0
AT1G51700,104.4783972,33.84434522,44.32250093,36.54636612
AT1G52150,10.2387961,9.179639435,6.371116166,8.180960401
AT1G52880,4.931959374,4.720856878,3.606085167,4.93300491
AT1G53170,32.30230951,7.94634606,10.64550026,65.17872015
AT1G53230,0.550065849,0.891993069,0.837979206,0.51400353
AT1G53910,27.07641529,44.81591274,83.08469475,93.90836516
AT1G54330,0.45196669,0.279006803,0.331992106,0.209002086
AT1G55110,15.81895302,15.57743076,34.51219678,37.57761351
AT1G59640,1.900802068,0.872971632,0.652001412,0.674025287
AT1G62300,5.183371547,1.920049547,2.307122321,19.79252612
AT1G63030,3.27E-06,0.017000128,0.018001027,0.033998909
AT1G64620,3.247669985,1.533917464,0.891039663,1.509028753
AT1G65910,1.06197728,0.944011039,1.029989282,0.863007252
AT1G68200,0.120990951,0.074002054,0.090004749,0.164
AT1G68320,0.087025993,0.221973301,0.013999101,0
AT1G68550,9.732416658,11.89556614,8.516625244,18.25801916
AT1G68670,29.18126284,14.96782492,13.60396515,13.06107689
AT1G69010,11.64012933,7.118860985,6.036117835,7.872049419
AT1G69180,0,0,0,3.85E-07
AT1G69490,23.77061257,0.9880955,1.734620417,42.56023943
AT1G69570,3.006524674,5.730600927,2.622128746,4.627952218
AT1G69690,9.05090604,8.562664465,5.949083691,7.252903152
AT1G69780,3.262632825,1.355891664,0.511982543,0.240006675
AT1G70920,0.372007317,0.410010654,0.493003273,0.543997433
AT1G71450,0.013997304,2.31E-06,0.017998845,6.10E-07
AT1G72010,15.83638547,17.83854643,22.09488711,20.33583958
AT1G72740,17.78365227,15.97744651,11.66595482,10.96208757
AT1G74480,3.85E-06,0.019997433,0,0
AT1G74650,0.153018676,0.249996919,0.226109235,1.927999487
AT1G74840,22.3560197,27.65473581,56.75659321,81.57771755
AT1G75080,9.993469742,7.240001669,7.25301335,7.460995989
AT1G75240,0.846064309,1.180027084,1.390956357,0.710995539
AT1G75390,1.819055259,2.106256464,4.104024132,4.479956486
AT1G76420,0.05800154,0.065993325,0.013999101,4.49E-07
AT1G76880,0,0,0,0
AT1G76890,11.11825132,17.61482576,8.467961235,7.863915122
AT1G77200,0.352961684,0.153989731,0.074043771,0.756006001
AT1G77920,6.79646075,9.190006475,17.0295904,10.64804393
AT1G78700,9.45429324,10.97684263,9.750804443,6.703979879
AT1G79180,0.173974007,0.038994994,3.47E-06,0.05401213
AT1G79580,0.045994609,0.01799769,4.49E-07,0.007000096
AT1G80840,144.782706,3.054012508,10.94111687,12.76165144
AT2G01060,13.35476645,12.14220204,13.7161421,15.93002371
AT2G01930,5.342630244,13.80821937,15.51651942,8.029094056
AT2G01940,1.666851551,0.895965343,0.626011809,0.809995411
AT2G02070,9.915364189,37.76988743,36.89194776,20.49792764
AT2G02080,9.764841789,14.13710878,22.77405442,23.62171453
AT2G02450,9.017614513,22.59304615,15.16286901,13.12175823
AT2G02820,5.814656122,4.028793339,2.419002888,2.463988897
AT2G03340,6.374623947,20.00065579,25.10853148,17.80881404
AT2G03500,3.533700984,1.98103132,2.225111032,3.955034914
AT2G04038,0.339969964,0.183991913,0.120996085,0.060005712
AT2G06200,0.316995186,0.291969322,0.053002375,0.089997401
AT2G15740,0,0,0,0
AT2G18060,0.602968616,0.439989218,0.355996278,0.298000995
AT2G18160,111.3885637,93.53931414,49.24827617,37.97119033
AT2G18350,1.96696694,6.98807201,7.548828189,4.871952057
AT2G18380,2.763930878,2.404912073,1.720010269,1.88000921
AT2G18550,0,0,0,0
AT2G20110,0.265976703,0.144988319,0.054006931,0.161998331
AT2G20400,3.050851551,2.280047237,2.648187214,5.565023458
AT2G22430,80.75543014,82.99258511,110.9202928,131.0619382
AT2G22540,45.23748098,84.08443206,87.44867718,66.83823282
AT2G23290,5.694553305,3.374626086,0.46203209,0.962052852
AT2G23320,31.39628506,6.913113342,7.796362169,13.43869816
AT2G23340,7.232840375,110.261653,138.7105474,38.17827765
AT2G24430,3.08E-06,0.016005391,0.057996278,3.85E-07
AT2G26960,2.70E-06,0.013998203,1.48E-06,0.022999262
AT2G27300,1.028074898,1.416935306,0.913020987,1.239994898
AT2G28810,12.20289526,11.65911963,12.5908796,10.71505564
AT2G30250,10.44201723,36.49771804,57.66800078,26.51957359
AT2G30340,0,0,0,0
AT2G30590,9.387314997,11.02237103,6.122940184,5.191139432
AT2G31220,0.074017714,0.166010654,0.248996406,0.192995796
AT2G31230,4.96455573,13.04204975,5.640012964,5.841862526
AT2G32460,0,0,0,2.25E-07
AT2G33550,8.366179641,9.298793596,7.690939478,6.747973429
AT2G33710,0.215971504,0.067997433,0.048065977,1.075973269
AT2G35530,6.61315461,7.415847764,6.229999807,6.227042134
AT2G35700,1.433984847,6.54800552,6.590741418,2.561981099
AT2G36010,1.70209242,2.182082921,2.828054361,3.67505635
AT2G36270,0.126049483,0.383186508,1.836126178,3.802031898
AT2G37590,1.792139592,2.516882165,1.598970734,1.142996919
AT2G38340,0.087989025,0.031002952,0.053999358,0.044000193
AT2G38470,167.2041821,7.177490395,18.78818894,37.31107349
AT2G40260,3.915913934,3.468834672,2.181003016,2.228036037
AT2G40620,1.84818946,2.831962775,2.54202702,2.962976029
AT2G40740,0.161977665,0.046004108,0.078100891,1.6499742
AT2G41690,0.024995186,0,0,1.09E-06
AT2G42200,2.402828311,6.703922213,6.097930942,5.021985046
AT2G42430,0,0,0,0
AT2G43000,0.040013863,0.112020153,0.269040049,0.892979719
AT2G44840,1.475719275,0.018007445,0.076000064,0.076999134
AT2G44940,27.20261794,71.94668119,22.72564194,17.14710461
AT2G45410,0,0,0,0
AT2G45420,0.141039856,0.347994609,0.305997304,0.264000834
AT2G45480,0.243006546,0.276974071,0.07501643,0.331000802
AT2G45680,0.00799846,0,0,0
AT2G46270,21.88680215,10.47332418,5.209943771,19.91419232
AT2G46590,3.104150567,3.885847251,2.696007188,2.808004814
AT2G46680,48.95615028,23.77133876,10.8372398,108.0582042
AT2G46770,0,0,0,0
AT2G47070,76.87919462,57.11709936,42.31121867,30.13797205
AT3G01220,0.399984212,0.318020153,0.4749871,0.273995892
AT3G01530,0,0,0,0
AT3G01970,1.107915282,0.668016815,0.798994288,0.710002214
AT3G02940,2.70E-06,0.013998203,0,0
AT3G03200,0.732008279,0.774975098,0.580999743,0.576998684
AT3G04030,10.20462191,13.43447352,17.12271883,12.74211177
AT3G04060,0.586126499,1.243544634,5.485772802,1.945982254
AT3G04070,0.05204544,0.288086772,0.963976253,0.593995283
AT3G06490,0.039101854,0.567997946,0.551986971,0.348993229
AT3G08500,0.629941275,0.325004878,0.363001219,0.381999454
