,exp1,exp2,exp3
AT2G31210,1.912772589,3.708336447,1.550055837
AT4G15250,5.678567496,4.749676531,4.329803608
AT3G23130,3.783635172,6.139368466,5.319973044
AT4G00940,7.771170649,8.531147544,10.01987292
AT1G74930,8.078012978,6.78929145,5.87007124
AT3G11090,4.759399272,4.368598302,2.550227198
AT3G05860,4.406688297,2.2604698,2.870190615
AT1G22190,10.20084718,10.75064694,11.59015403
AT1G63100,8.110569921,8.479406974,7.709726592
AT2G37430,7.799676531,7.589992298,7.579649576
AT1G26790,4.320477501,4.628382657,2.530336947
AT1G49720,7.390308065,7.589638023,7.120406261
AT2G12900,3.941632747,4.998813948,3.459863296
AT1G28520,6.431047422,7.108975683,5.779832489
AT1G74430,5.53075476,6.019368466,5.199738144
AT5G04640,2.399892177,2.328898666,0.899946089
AT2G26320,2.913234687,5.009353063,4.169838266
AT3G05690,9.880523711,10.21837495,8.110232974
AT1G10585,3.160462098,3.458621407,1.67039856
AT3G49950,4.747843542,3.349391571,2.560125152
AT1G31320,8.03,8.029129715,6.899859445
AT5G06070,5.160970406,5.788451971,3.780350424
AT3G60110,5.220862583,5.779175925,4.709795907
AT1G78600,9.219460886,8.871162947,10.38007317
AT4G13480,5.340030807,5.359792056,5.089690009
AT2G26950,4.881047422,5.558382657,3.460146331
AT2G46830,8.00995379,7.980508308,8.640242602
AT1G68510,4.032048635,5.358675319,3.640333096
AT5G59820,10.30983056,10.20150182,12.14976125
AT5G22380,3.560877986,4.128521286,2.210354275
AT4G35270,7.399984597,7.388906368,5.969959566
AT4G38620,8.870770164,9.369561007,8.799715039
AT2G01430,8.280415888,8.550731655,9.500132853
AT1G80730,6.079830564,5.968721529,4.310088569
AT5G15310,5.301755973,6.439129715,5.309803608
AT3G28470,3.912156458,5.308929473,3.919867147
AT3G66656,3.039491692,2.709938387,2.630358126
AT1G66140,9.109830564,8.999075804,7.799921058
AT4G33280,6.160462098,6.458513584,4.530175212
AT5G16600,7.89160194,8.930662341,9.789961492
AT4G18960,3.681802183,4.848606004,3.040308065
AT3G54320,6.291324681,7.150061613,7.23021372
AT2G37060,7.149260643,6.670546816,7.380242602
AT2G20880,5.703142267,7.739129715,6.610040434
AT1G01520,3.838921771,3.138991086,1.830200243
AT1G28300,3.522880412,5.389391571,4.600105897
AT1G13600,8.14009242,8.200670042,9.070159809
AT5G65590,1.802818799,3.629776653,3.34
AT5G60140,4.421263068,5.238582899,3.400055837
AT2G40470,5.708552093,4.771532625,6.759845967
AT4G25210,10.04061613,10.43973814,10.09971119
AT2G02540,4.980646937,5.398636811,3.630315767
AT2G20180,7.279938387,7.239614918,6.740363902
AT1G01010,8.270508308,8.599730443,8.24971889
AT2G30420,2.799368466,2.390454396,2.979655352
AT1G03790,4.452680169,6.189460886,5.490115525
AT4G32890,6.671663553,7.750030807,7.790157884
AT2G28510,9.219738144,9.049191328,7.999921058
AT5G60910,5.920446695,6.208606004,4.400211795
AT1G03490,4.081293875,4.919006489,3.629886401
AT5G04340,10.26984597,10.17117835,11.69995379
AT2G38300,7.339568708,7.059206732,6.029936462
AT1G77950,2.461832989,3.649514797,3.020244527
AT2G45650,0.512942025,2.419399272,1.640011552
AT1G25330,2.412464523,4.009684233,3.599795907
AT2G44730,7.899676531,7.689322256,6.809884475
AT4G22680,5.2976433,3.770908793,4.950113599
AT3G54990,7.768382657,6.719399272,5.940080867
AT3G18650,4.229183627,3.699337659,2.840348499
AT5G23650,5.36075476,5.848598302,4.030169436
AT1G66390,4.158890965,3.439206732,2.410288811
AT3G01140,5.458644512,4.580839478,5.670152107
AT3G27920,3.821524924,4.808652214,3.060051986
AT4G37740,8.400415888,8.669068102,7.459924909
AT4G37850,1.472479927,3.078806247,1.530148256
AT1G29570,1.788074591,0.541301576,2.229768951
AT2G32250,9.059815161,8.939383869,8.139865221
AT5G42910,4.481139842,5.218937174,3.839936462
AT4G09460,8.481093632,9.190400485,9.710103972
AT5G37020,8.759522499,8.44957641,7.899834415
AT4G22950,7.940985809,8.579445482,7.860313842
AT2G22200,5.261478714,6.218975683,4.889917207
AT2G36080,7.770030807,7.790531413,8.480169436
AT4G34400,5.462156458,6.859322256,5.980206019
AT5G60200,8.731016616,9.389206732,8.359853669
AT2G40220,4.981925409,6.229006489,4.939915282
AT3G07340,8.399460886,8.049599515,7.529838266
AT3G15030,3.281093632,3.989068102,2.779897953
AT5G40350,4.06924524,3.580924196,4.780090494
AT1G64100,6.580539114,6.92868302,5.220175212
AT2G47890,9.849892177,9.780677744,10.66013093
AT5G11590,4.122310491,5.618998787,4.319948014
AT2G42280,8.429892177,8.360038508,8.41028111
AT4G00480,8.119707338,7.929815161,7.689768951
AT4G23810,7.540477501,7.849206732,6.819886401
AT2G19510,2.239137417,1.679353063,0.839973044
AT4G39410,5.501586537,6.52872923,4.880238751
AT1G55600,3.811632747,4.869761249,4.560190615
AT3G44350,0.891047422,1.569391571,0.780300364
AT4G32980,5.490323469,5.698783142,4.120130928
AT1G72350,5.680338872,5.899114312,4.75033117
AT5G35770,4.472418314,6.039645725,5.580065464
AT2G44430,6.940477501,7.249383869,6.449840191
AT1G22590,3.329091207,2.740485203,3.370206019
AT4G29100,9.700492905,10.0190373,8.769959566
AT1G66350,7.209676531,6.999168223,5.919988448
AT2G40750,9.630123226,9.709191328,8.65992876
AT1G21340,5.390323469,5.598952578,4.240019254
AT5G60970,5.141370891,6.02872923,4.380080867
AT5G57660,10.18104742,10.86051601,11.53003658
AT1G09030,3.519645725,3.29117835,4.819888326
AT2G31380,8.048783142,7.259892177,7.119851744
AT1G54160,6.390323469,6.598806247,5.050144406
AT2G22770,9.369938387,9.329391571,8.539880625
AT4G37750,8.45995379,8.429568708,7.869828639
AT5G61600,11.15758169,9.590931898,10.79988255
AT5G49620,6.111894602,7.338752335,5.720119375
AT4G27330,2.601278471,3.430023105,3.460159809
AT5G07160,1.000246452,1.159553305,0.580311916
AT3G56520,4.011863796,5.220123226,5.380023105
AT2G40950,8.459892177,8.390908793,9.570015403
AT3G17010,5.979029594,5.3504698,5.959724667
AT4G26150,5.150323469,5.358829351,3.840138629
AT1G01060,8.698629109,7.809676531,7.389455109
AT1G01250,3.251032019,3.920770164,4.920088569
AT1G01720,10.51023105,10.66097811,11.93009435
AT1G02250,5.510924196,6.109437781,5.379874848
AT1G03840,8.120061613,8.158852456,6.670030807
AT1G06180,8.33084718,8.879345361,8.02992876
AT1G06850,7.511170649,8.270030807,8.310001925
AT1G08320,8.609584112,8.339645725,7.880088569
AT1G09540,7.369676531,7.159283748,6.230073166
AT1G12260,5.63080097,6.149514797,5.520026956
AT1G12610,4.118675319,3.260854882,4.369951865
AT1G12630,6.840200243,6.96886786,5.500032732
AT1G13260,8.88155573,9.889707338,9.510115525
AT1G13450,9.370169436,9.480231049,9.780150182
AT1G14687,1.410200243,1.539376168,0.730171361
AT1G16490,5.810169436,5.919691935,5.520017329
AT1G18330,10.48158654,11.51073166,12.46000578
AT1G19000,11.08969193,10.8899923,10.88007702
AT1G19040,5.290646937,5.709299151,4.800190615
AT1G19210,6.409337659,5.979545604,5.389992298
AT1G19850,9.039707338,8.849160522,7.760129002
AT1G20910,8.209168223,7.670100121,7.799982671
AT1G20980,10.00030807,10.19956101,9.630036583
AT1G22070,9.410385082,9.659399272,8.880028881
AT1G22810,4.020877986,4.589337659,3.729919133
AT1G25340,4.482171861,5.889491692,5.22978628
AT1G25550,10.2304775,10.54013093,10.7098633
AT1G27730,11.88725822,10.11150182,12.05985752
AT1G28160,5.661632747,6.718113099,4.270173287
AT1G28370,7.620184839,7.73995379,7.679973044
AT1G28470,7.880492905,8.199360764,7.370080867
AT1G29160,8.700723954,9.169014191,7.89011745
AT1G29280,10.8900154,10.89956871,10.34017521
AT1G29860,6.511340085,7.378659915,5.639805534
AT1G30210,7.100955003,7.718875561,6.260138629
AT1G30490,8.700539114,9.049761249,8.740065464
AT1G30650,8.959922984,8.909807459,8.660103972
AT1G32150,8.13004621,8.160015403,8.179994224
AT1G32870,7.620446695,7.910123226,8.070344648
AT1G33240,8.190831777,8.730161734,8.939984597
AT1G34180,7.630231049,7.780123226,7.939815161
AT1G34190,10.37995379,10.34988448,10.20006931
AT1G34370,11.91,11.91034657,12.36010012
AT1G34670,8.330723954,8.799730443,8.450063538
AT1G36060,8.979799757,8.850207944,9.120269557
AT1G43160,8.149876774,8.07089339,9.230065464
AT1G43700,10.21024645,10.3700077,10.38015596
AT1G44830,8.088767738,7.290123226,7.449934536
AT1G46768,7.480292662,7.669869072,7.500161734
AT1G47655,6.709738144,6.540361977,7.010229124
AT1G49010,6.940477501,7.249630322,6.769932611
AT1G49480,9.699984597,9.689884475,9.539951865
AT1G49560,7.610616131,8.010446695,8.59002118
AT1G50640,8.38084718,8.930038508,8.980086643
AT1G51140,9.159183627,8.629822862,8.400165585
AT1G51700,7.940523711,8.279922984,8.179901804
AT1G52150,9.890077016,9.93995379,9.880088569
AT1G52880,8.319014191,7.679568708,7.120246452
AT1G53170,7.131832989,8.319383869,7.519965343
AT1G53230,6.510616131,6.909329958,6.039967268
AT1G53910,10.98012323,11.05981516,10.81998075
AT1G54330,5.80080097,6.319145118,5.210050061
AT1G55110,8.820539114,9.169383869,8.369998075
AT1G59640,6.978120801,5.760284961,6.130075091
AT1G62300,9.249383869,8.849514797,8.220059688
AT1G63030,2.924605578,5.907812736,3.07025993
AT1G64620,8.419784354,8.279422377,7.529934536
AT1G65910,6.801247665,7.608852456,6.120061613
AT1G68200,6.541232262,7.338944876,5.969761249
AT1G68320,5.65070855,6.109214433,5.090167511
AT1G68550,9.160677744,9.599761249,9.290207944
AT1G68670,9.920508308,10.2500231,10.27994994
AT1G69010,9.139722741,8.95990758,8.840007702
AT1G69180,1.430569921,1.799784354,1.519998075
AT1G69490,8.701247665,9.508744633,7.880329245
AT1G69570,7.489938387,7.449776653,7.160123226
AT1G69690,6.351386294,7.2495302,6.640001925
AT1G69780,7.031786779,8.189561007,7.619926834
AT1G70920,5.750030807,5.769869072,5.599901804
AT1G71450,5.770308065,5.969899879,5.840103972
AT1G72740,8.379383869,7.979892177,7.839992298
AT1G74480,4.182710976,5.939237538,4.950250303
AT1G74650,4.102603153,5.789545604,5.200277259
AT1G74840,11.82979976,11.6995302,11.08996149
AT1G75240,6.561678957,7.649553305,7.070155958
AT1G75390,10.17993839,10.14064694,10.98001155
AT1G76420,4.869984597,4.859869072,4.689955716
AT1G76880,7.731571134,8.750284961,9.119919133
AT1G76890,7.528906368,6.820292662,7.199961492
AT1G77200,6.007489267,4.379222135,3.369813235
AT1G77920,10.41021565,10.54957641,9.999911431
AT1G78700,8.270169436,8.379638023,7.910011552
AT1G79180,7.570908793,8.15924524,7.179980746
AT1G79580,7.600677744,8.039761249,7.729924909
AT1G80840,8.678197817,7.510354275,7.969813235
AT2G01060,10.23012323,10.30984597,10.10994224
AT2G01930,8.379507095,8.059776653,7.770036583
AT2G01940,6.439876774,6.359545604,5.770088569
AT2G02070,6.710631534,7.119915282,7.01014248
AT2G02080,7.289691935,7.09004621,7.150026956
AT2G02450,4.78990758,4.729561007,4.159628396
AT2G02820,6.700061613,6.739869072,6.570067389
AT2G03340,8.359753548,8.199691935,7.800171361
AT2G03500,7.889537902,7.589730443,7.240026956
AT2G04038,6.980955003,7.599453184,6.890077016
AT2G06200,4.800955003,5.419044997,4.179761249
AT2G15740,4.980446695,5.269268345,4.320102047
AT2G18060,6.281078229,6.979299151,6.070105897
AT2G18160,12.52959952,12.26971504,11.90005776
AT2G18350,6.15995379,6.130747059,7.10014248
AT2G18380,6.270831777,6.809807459,6.559963417
AT2G18550,7.580585324,7.960069315,8.050371604
AT2G20110,6.870385082,7.119299151,6.209805534
AT2G20400,6.870123226,6.95004621,7.010088569
AT2G22430,10.94932226,10.50926834,9.560130928
AT2G22540,8.179537902,7.879745846,7.550088569
AT2G23290,8.299830564,8.189822862,7.960086643
AT2G23320,10.01012323,10.08956871,9.530028881
AT2G23340,9.629137417,9.070107823,9.210121301
AT2G24430,8.090492905,8.409445482,7.690028881
AT2G26960,2.161340085,3.028914069,1.620365828
AT2G27300,5.800338872,6.019083505,4.830140555
AT2G28810,9.090077016,9.139329958,8.270173287
AT2G30250,8.840154033,8.939969193,8.900173287
AT2G30340,8.580231049,8.730115525,8.880159809
AT2G30590,8.700477501,9.009691935,8.609969193
AT2G31230,7.039507095,6.720593026,7.489805534
AT2G32460,5.65070855,6.109430079,5.37007124
AT2G33710,6.729137417,6.169691935,5.769817086
AT2G35530,7.619768951,7.469992298,7.460007702
AT2G35700,5.641016616,6.299799757,6.040088569
AT2G36010,7.919984597,7.909507095,7.26995379
AT2G36270,6.489815161,6.369522499,5.749967268
AT2G37590,7.500523711,7.839969193,7.799994224
AT2G38340,4.681863796,5.89089339,7.050271483
AT2G38470,10.20061613,10.60040049,11.11980938
AT2G40260,7.310169436,7.419861371,7.24002503
AT2G40620,8.430616131,8.830077016,8.929984597
AT2G40740,5.809938387,5.770207944,6.039832489
AT2G41690,6.579876774,6.499345361,5.649870998
AT2G42200,5.839661128,5.618860158,4.140063538
AT2G42430,8.121155245,8.869599515,8.35009627
AT2G43000,8.469768951,8.319699636,7.929901804
AT2G44840,7.387843542,5.989591813,5.459249091
AT2G44940,8.070955003,8.689768951,8.389865221
AT2G45420,7.290477501,7.599661128,7.160026956
AT2G45680,7.259383869,6.859437781,6.130098196
AT2G46270,8.730616131,9.130053911,9.20011745
AT2G46590,6.831463311,7.779722741,7.41997497
AT2G46680,9.570523711,9.90924524,8.930358126
AT2G46770,2.76080097,3.278860158,1.800013478
AT2G47070,8.789676531,8.579776653,8.290048135
AT3G01220,8.730261856,8.899869072,8.729948014
AT3G01530,5.077812736,3.660492905,4.300211795
AT3G01970,7.539414676,7.160723954,8.100333096
AT3G02940,6.339614918,6.088798545,4.53011745
AT3G03200,6.470877986,7.03948399,6.369870998
AT3G04030,7.210492905,7.529044997,6.290069315
AT3G04060,8.908706125,8.070177138,8.300204093
AT3G04070,10.59024645,10.74863681,8.980152107
AT3G06490,7.080908793,7.670061613,7.750192541
AT3G08500,2.769322256,2.329815161,2.089874848
AT3G09600,6.698582899,5.779976895,5.749922984
AT3G09735,10.87990758,10.81996149,10.76997112
AT3G10030,8.879969193,8.860308065,9.260102047
AT3G10500,11.11993839,11.08014633,11.27004814
AT3G10580,5.500970406,6.129961492,6.079978821
AT3G10800,10.21064694,10.63061613,11.43014441
AT3G11280,10.93007702,10.98074706,11.95000193
AT3G11440,7.489568708,7.210385082,7.710038508
AT3G12130,9.250616131,9.649545604,9.060050061
AT3G12250,7.969183627,7.439861371,7.260007702
AT3G12720,6.470646937,6.887797332,4.030483278
AT3G12730,7.470200243,7.600154033,7.799940312
AT3G13810,7.140369679,7.378967981,6.040009627
AT3G14180,8.518783142,7.730716252,8.660028881
AT3G15170,3.561093632,4.267989873,1.659976895
AT3G15210,9.839676531,9.630392783,10.13999422
AT3G15270,4.078937174,3.388883263,1.940527562
AT3G15500,6.910061613,6.950546816,7.660258005
AT3G16280,7.000308065,7.199792056,6.929921058
AT3G17730,4.382017828,5.689052699,4.459861371
AT3G18400,8.569892177,8.500084718,8.610067389
AT3G18990,9.809553305,9.520177138,9.749926834
AT3G20310,9.07,9.069738144,8.730090494
AT3G20770,10.74958411,10.47990758,10.3600231
AT3G21890,8.540369679,8.779938387,8.70009627
AT3G22760,6.84070855,7.300646937,8.140026956
AT3G22830,4.646041359,2.080685446,2.970864509
AT3G23220,2.093311703,4.23948399,3.57002503
AT3G24050,7.892880412,9.759645725,9.300007702
AT3G24120,9.540431292,9.819422377,9.070034657
AT3G24520,9.489784354,9.349191328,8.30014248
AT3G25990,6.189738144,6.019499394,5.369776653
AT3G26790,7.060261856,7.229406974,6.460050061
AT3G27010,6.881401698,7.789306853,6.889948014
AT3G27785,1.018490479,0.040716252,0.970017329
AT3G28920,6.70004621,6.72948399,6.060113599
AT3G30210,4.871709763,5.979661128,5.540030807
AT3G42860,6.288983384,5.628590601,3.800186765
AT3G45610,3.411139842,4.150184839,4.390350424
AT3G46590,8.471032019,9.139661128,8.700050061
AT3G47500,10.79027726,10.96944548,10.24992106
AT3G49530,9.310354275,9.540292662,9.920026956
AT3G50060,8.849753548,8.690277259,9.049838266
AT3G50260,10.01929145,9.560723954,10.50006546
AT3G50410,7.530677744,7.969768951,7.670311916
AT3G53200,4.561401698,5.468713827,3.8002349
AT3G55370,7.529676531,7.319946089,7.250038508
AT3G56400,10.19106283,10.88019254,11.12983249
AT3G56850,8.909892177,8.840030807,8.880057762
AT3G57920,6.79009242,6.849445482,6.129801683
AT3G60490,8.379229836,7.880177138,8.11004621
AT3G60530,8.190154033,8.290300364,8.680003851
AT3G60580,5.450985809,6.088390358,4.00007124
AT3G61150,5.230693147,5.680015403,5.700302289
AT3G62420,11.53966113,11.32023105,11.62010205
AT4G00730,8.240431292,8.519653426,8.070088569
AT4G01250,7.329399272,6.940646937,7.780107823
AT4G01280,8.289938387,8.249946089,8.180094345
AT4G01500,5.825471438,2.891216858,4.470130928
AT4G01550,8.070554518,8.43080097,9.470044284
AT4G01680,6.341093632,7.049853669,6.859946089
AT4G04890,7.680308065,7.879661128,7.439984597
AT4G05100,7.169892177,7.100600728,7.880059688
AT4G10350,7.699322256,7.259969193,7.219938387
AT4G11660,8.142125651,9.520824075,10.59006931
AT4G14770,8.381062826,9.068944876,7.699963417
AT4G15090,8.160015403,8.169822862,7.940119375
AT4G16150,7.810446695,8.099861371,7.920086643
AT4G16750,6.671263068,7.489391571,6.700109748
AT4G17980,5.792110248,7.159206732,6.130015403
AT4G18170,6.271971619,7.548983384,6.230103972
AT4G18450,5.720631534,6.130223347,6.419899879
AT4G18770,6.540785567,7.049653426,6.599996149
AT4G18880,9.020154033,9.120400485,9.640077016
AT4G18890,7.670338872,7.889345361,7.04
AT4G21080,5.900985809,6.539522499,5.920115525
AT4G22070,7.460616131,7.859899879,7.729888326
AT4G24020,8.870508308,9.200246452,9.520148256
AT4G24240,8.460015403,8.47033117,8.900103972
AT4G25470,7.917704913,6.430569921,7.170098196
AT4G25480,6.738182414,5.5604698,6.170155958
AT4G25490,5.399399272,5.009014191,3.730204093
AT4G26640,8.999815161,8.879437781,8.149948014
AT4G28500,6.197473864,4.561309278,6.259869072
AT4G29230,7.369830564,7.259691935,6.860146331
AT4G31060,6.670816373,7.199399272,6.420077016
AT4G31800,7.491355488,8.369345361,7.519855594
AT4G32730,8.180015403,8.189638023,7.719942238
AT4G32800,6.526488054,4.250808672,5.300086643
AT4G34410,7.666334022,5.289614918,4.790080867
AT4G34590,10.24040049,10.49984597,10.2999769
AT4G36160,5.950492905,6.26966883,5.840055837
AT4G36620,6.530955003,7.149137417,6.029994224
AT4G36740,7.170631534,7.580238751,7.890367753
AT4G36780,9.20910661,8.630231049,8.930100121
AT4G37180,8.250662341,8.680077016,8.780173287
AT4G37260,10.16032347,10.37006161,10.45002118
AT4G38000,6.140523711,6.479884475,6.329990373
AT4G38170,8.309738144,8.139653426,7.690038508
AT5G01380,5.589861371,5.501239963,7.110167511
AT5G02460,5.49174057,6.619630322,6.140190615
AT5G02840,10.06947629,9.730138629,9.910055837
AT5G03150,7.650955003,8.26910661,7.110042359
AT5G03790,3.678875561,2.950069315,3.039944163
AT5G04390,4.940107823,5.010146331,5.199894103
AT5G04410,10.61090879,11.20080867,12.25001155
AT5G05550,3.69910661,3.120839478,4.210315767
AT5G05790,10.01935306,9.599691935,9.199921058
AT5G06100,7.390154033,7.489715039,7.120057762
AT5G06950,8.430446695,8.720023105,8.750034657
AT5G06960,9.369630322,9.129876774,8.97004621
AT5G07310,4.251755973,5.389414676,4.62995379
AT5G07680,8.549091207,7.960038508,8.009990373
AT5G08130,9.130723954,9.599761249,9.290148256
AT5G08330,8.198767738,7.400400485,7.920038508
AT5G08520,7.81075476,8.300246452,8.620119375
AT5G08750,9.000184839,9.119499394,8.470028881
AT5G09410,9.820261856,9.989745846,9.660003851
AT5G10030,8.860462098,9.159406974,8.389845967
AT5G10510,9.070184839,9.189376168,8.380136704
AT5G11260,8.959661128,8.740246452,9.060198317
AT5G11510,7.530261856,7.699699636,7.309736219
AT5G13080,9.360662341,9.790500606,10.44022142
AT5G13180,11.15912201,10.58944548,9.870236825
AT5G13790,2.961678957,4.050161734,4.259501319
AT5G13910,9.229815161,9.109561007,8.54014248
AT5G14960,6.68070855,7.139453184,6.429911431
AT5G15830,9.190492905,9.50929145,8.589909506
AT5G16820,7.929414676,7.550038508,7.600011552
AT5G17300,7.390015403,7.401193753,8.949965343
AT5G17800,8.939584112,8.669414676,7.909965343
AT5G18270,8.839876774,8.759884475,8.610048135
AT5G18450,7.071016616,7.729406974,6.960048135
AT5G18560,7.481001213,8.129353063,7.29
AT5G19790,7.31835185,6.250646937,7.090019254
AT5G22990,3.041062826,3.728167011,1.350585324
AT5G24110,4.422695572,6.168012978,3.590186765
AT5G25190,6.430215646,6.569691935,6.16992876
AT5G25810,9.159584112,8.890207944,9.159890252
AT5G29000,7.960184839,8.079776653,7.790105897
AT5G39610,8.341524924,9.328898666,7.900125152
AT5G39760,6.799892177,6.729376168,5.920038508
AT5G39820,5.899322256,5.458706125,3.779690009
AT5G45300,8.089614918,7.83990758,7.720001925
AT5G46350,6.18084718,6.72966883,6.30004621
AT5G46590,8.031247665,8.838552093,6.959948014
AT5G46830,4.241309278,5.089160522,4.000263781
AT5G47220,8.279553305,7.990292662,8.369940312
AT5G47230,9.359383869,8.959922984,8.859926834
AT5G47370,9.540107823,9.609845967,9.410051986
AT5G47390,9.560215646,9.699838266,9.490026956
AT5G51190,10.24735064,8.530539114,9.229705412
AT5G51990,5.748675319,4.88990758,4.770053911
AT5G52020,6.929568708,6.650747059,7.61985752
AT5G52660,7.960154033,8.059722741,7.700082793
AT5G52830,8.919722741,8.739776653,8.45011745
AT5G53950,5.999537902,5.700238751,6.009973044
AT5G54230,8.081170649,8.840107823,8.979618769
AT5G56110,5.890908793,6.479568708,5.920032732
AT5G58850,1.770246452,1.929799757,1.670063538
AT5G58900,8.477704913,6.990785567,8.010086643
AT5G59430,7.840323469,8.049784354,7.770036583
AT5G60130,5.601370891,6.488575197,4.639969193
AT5G60850,8.800492905,9.120346574,9.569959566
AT5G61620,6.120770164,6.619306853,5.720003851
