,exp1,exp2,exp3
AT5G42640,3.712556943,5.369353063,4.529776653
AT5G65640,7.809830564,7.699345361,6.849815161
AT5G12870,6.008629109,5.11910661,3.960321543
AT5G67450,5.887196605,4.071463311,5.969819012
AT5G56780,6.798783142,6.009838266,5.799780503
AT5G54070,3.559984597,3.548575197,1.700192541
AT4G31630,3.05160194,4.090030807,4.130207944
AT5G27580,2.79240291,4.350338872,4.789919133
AT5G16560,3.490785567,3.999638023,3.530354275
AT2G01500,3.249137417,2.691494117,4.629911431
AT5G14750,1.902372104,3.43948399,2.769757398
AT2G16910,5.037304428,3.291478714,5.209870998
AT2G37060,5.62089339,6.200562219,6.930130928
AT1G54830,7.701632747,8.760415888,9.300073166
AT5G49330,7.24009242,7.300677744,8.180169436
AT1G80580,2.459876774,2.37995379,2.320342723
AT1G68240,3.652279684,5.130061613,5.210075091
AT2G37630,8.771725166,9.888914069,8.479876774
AT1G51190,3.010862583,3.570616131,4.370109748
AT5G50820,5.272664766,6.999191328,5.950202168
AT1G75250,7.820277259,7.999345361,7.149803608
AT5G17430,2.460477501,2.769745846,2.440342723
AT5G16770,5.350462098,5.650115525,5.799645725
AT2G27990,6.29995379,6.268667617,4.540290737
AT5G07700,6.449399272,6.059961492,6.00971889
AT1G71930,6.448829351,5.690115525,5.839734294
AT1G16060,6.620292662,6.809376168,5.999799757
AT5G25160,3.400600728,3.788713827,2.120354275
AT5G06070,5.657812736,4.239969193,4.20028111
AT1G09030,3.838629109,2.949961492,2.900336947
AT2G22750,3.41009242,3.470246452,3.789641874
AT1G72830,8.16,8.159021892,6.889942238
AT4G00232,3.991001213,4.640539114,5.339630322
AT2G31210,2.797889752,1.431463311,3.329924909
AT5G40350,2.221232262,3.02051601,3.690080867
AT2G44730,7.359661128,7.138960279,5.790015403
AT4G36900,5.749799757,5.620639236,6.450186765
AT3G02550,7.030277259,7.209584112,6.670361977
AT1G64000,5.297473864,3.661109035,5.099780503
AT1G29570,2.199507095,1.879738144,1.540360051
AT1G78080,9.702033232,11.02027726,11.38001348
AT5G50915,10.26872153,9.439853669,9.249815161
AT5G55020,4.301910006,5.54009242,5.660109748
AT4G29190,9.620261856,9.789376168,8.980375455
AT5G65790,2.149645725,1.919822862,1.690348499
AT4G37850,2.948382657,1.900107823,2.039793981
AT2G06020,5.037242815,3.250477501,3.870155958
AT4G31920,8.749938387,8.709353063,7.869844042
AT5G38800,2.851817586,4.028790843,2.459955716
AT5G07580,10.01839806,8.979661128,8.540313842
AT5G42700,4.291832989,5.480369679,5.960001925
AT1G30500,8.53995379,8.50990758,8.390317692
AT3G06220,4.819645725,4.589437781,3.859851744
AT5G57620,3.710646937,4.130839478,5.220005776
AT1G66470,4.910492905,5.228629109,3.450179063
AT1G80730,5.257088782,3.370770164,4.370026956
AT5G44260,8.348197817,7.18033117,7.610254154
AT3G53790,4.8790604,4.2704698,4.880238751
AT5G06650,4.829799757,4.700839478,5.789636098
AT3G61630,5.381216858,6.170030807,6.210202168
AT1G29600,7.22080097,7.739730443,7.389726592
AT1G20700,4.211987022,5.499807459,5.249745846
AT1G02340,6.859460886,6.509491692,5.850354275
AT2G22840,6.750215646,6.889491692,6.230348499
AT4G03170,2.549661128,2.330323469,2.749674606
AT2G30420,7.109507095,6.788929473,5.400136704
AT1G68150,3.842741782,5.61948399,4.950040434
AT5G26930,5.47,5.46877544,3.880177138
AT4G17785,4.23244912,5.819930685,5.729980746
AT1G17310,3.999029594,3.369892177,3.230317692
AT1G22985,6.720985809,7.359776653,7.070263781
AT4G00870,1.519599515,1.261001213,2.560036583
AT4G01120,8.160400485,8.420023105,8.45025993
AT3G29020,3.742418314,5.309014191,4.030173287
AT3G25890,8.850261856,9.02,9.020271483
AT1G67710,3.200107823,3.270030807,3.310273408
AT3G56520,2.302310491,3.799191328,2.750180988
AT5G56270,7.409984597,7.398991086,6.09002118
AT3G24310,1.312603153,2.999075804,1.799982671
AT3G05860,2.417443057,0.760207944,1.030059688
AT3G23250,1.211309278,2.060631534,2.879741995
AT5G65590,5.798706125,4.961070527,6.35004621
AT4G34680,8.699553305,8.41089339,9.570073166
AT4G09960,5.70750467,4.091085931,5.499944163
AT5G52260,5.2790604,4.669869072,4.499815161
AT4G11880,4.008706125,3.169638023,2.699932611
AT3G55980,9.127735719,7.660369679,8.139888326
AT2G42440,1.429922984,1.381124439,2.83990373
AT2G42660,4.118475076,3.131301576,4.81990758
AT5G62165,5.739183627,5.20910661,4.050159809
AT1G74500,1.680631534,2.090623832,2.900059688
AT5G28300,8.730477501,9.038806247,7.49009242
AT2G18300,11.28808999,10.04976895,9.750206019
AT5G43270,10.00816701,8.819645725,8.360179063
AT5G46010,3.880338872,4.099222135,3.08990373
AT2G22760,5.950015403,5.960123226,6.119711189
AT3G49940,9.92915282,9.379499394,8.729926834
AT3G54810,9.457889752,8.089946089,8.020180988
AT1G68510,2.371124439,3.099861371,2.920215646
AT2G38250,2.261940812,3.519052699,2.290219497
AT1G66380,4.551216858,5.339175925,4.270288811
AT2G26320,2.692002425,3.989337659,3.130194466
AT5G62110,-0.419168223,0.120361977,0.590119375
AT1G22590,9.340215646,9.479799757,9.219761249
AT1G01060,11.58956871,11.30921443,10.28929145
AT1G01250,6.74929145,6.289884475,6.139695785
AT1G01720,8.470985809,9.111039721,10.45994609
AT1G02250,5.849168223,5.310315767,5.720055837
AT1G03840,2.34160194,3.379360764,2.549909506
AT1G06180,6.960261856,7.129799757,6.870111674
AT1G06850,6.790985809,7.429807459,7.180028881
AT1G08320,7.209707338,7.02,7.020077016
AT1G09540,6.04004621,6.06957641,5.520009627
AT1G12260,5.768721529,4.941109035,6.379651501
AT1G12610,2.870200243,3.000408187,3.529930685
AT1G12630,6.819260643,6.339268345,5.38992876
AT1G13260,7.879722741,7.700777865,8.710161734
AT1G13450,8.560508308,8.889892177,8.750144406
AT1G14687,2.119353063,1.700361977,2.16988255
AT1G16490,6.658998787,6.010077016,6.11007124
AT1G18330,10.05244912,11.64084718,12.74
AT1G19000,12.17979976,12.04992298,11.9500154
AT1G19040,5.498706125,4.660392783,5.169942238
AT1G19210,6.259984597,6.249984597,6.229969193
AT1G19850,8.519830564,8.409430079,7.669938387
AT1G20910,8.369399272,7.979607217,7.470227198
AT1G20980,9.690030807,9.709722741,9.350040434
AT1G22070,8.729229836,8.229276046,7.290179063
AT1G22810,5.989861371,5.899514797,5.270042359
AT1G25340,4.740338872,4.959776653,4.669872923
AT1G25550,10.49790516,9.140762462,10.12977858
AT1G27730,6.699768951,6.551987022,9.129865221
AT1G28160,6.109676531,5.900115525,6.049980746
AT1G28370,7.189707338,6.999838266,6.789951865
AT1G28470,6.920061613,6.959715039,6.589926834
AT1G29160,6.369722741,6.188852456,4.700175212
AT1G29280,6.310508308,6.64009242,6.759949939
AT1G29860,5.949861371,5.858921771,4.459753548
AT1G30210,8.240200243,8.369368466,7.55009242
AT1G30490,8.569830564,8.460138629,8.640309991
AT1G30650,5.909614918,5.660308065,6.06002503
AT1G32150,8.400015403,8.409599515,7.890040434
AT1G32870,7.090431292,7.370269557,7.720435142
AT1G33240,10.06,10.05988448,9.91021372
AT1G34180,4.038967981,3.370323469,3.789969193
AT1G34190,10.02955331,9.739799757,9.48009242
AT1G34370,9.88004621,9.909776653,9.620107823
AT1G34670,5.550123226,5.629661128,5.190042359
AT1G36060,7.009815161,6.889799757,6.630067389
AT1G43160,1.85990758,1.799715039,1.429924909
AT1G43700,9.68009242,9.739922984,9.640109748
AT1G44830,7.328937174,6.640115525,6.789965343
AT1G46768,6.670292662,6.859368466,6.040123226
AT1G47655,6.000862583,6.560454396,7.149992298
AT1G49010,10.49979976,10.36963802,9.899884475
AT1G49480,9.740107823,9.809869072,9.639986522
AT1G49560,6.001124439,6.731324681,8.450084718
AT1G50640,7.282125651,8.660130928,8.830063538
AT1G51140,8.94919903,8.429815161,8.19
AT1G51700,9.069707338,8.879499394,8.230011552
AT1G52150,8.730415888,8.999984597,8.980107823
AT1G52880,8.070231049,8.218744633,6.590086643
AT1G53170,8.321463311,9.269522499,8.649919133
AT1G53230,8.990184839,9.109160522,8.01990373
AT1G53910,9.461355488,10.33989988,10.21013285
AT1G54330,3.98070855,4.439892177,4.300059688
AT1G55110,9.059984597,9.049499394,8.399936462
AT1G59640,6.151016616,6.809976895,6.779938387
AT1G62300,3.171463311,4.118983384,2.79985752
AT1G63030,4.067874349,2.690400485,3.210232974
AT1G64620,7.950123226,8.029745846,7.699936462
AT1G65910,7.019861371,6.929691935,6.530011552
AT1G68200,6.290785567,6.798906368,5.379886401
AT1G68320,6.509476289,6.170654639,7.019894103
AT1G68550,9.269584112,8.999930685,8.910236825
AT1G68670,10.90861371,10.01022335,10.29981131
AT1G69010,9.419768951,9.269422377,8.519984597
AT1G69180,2.918167011,1.730315767,2.140001925
AT1G69490,9.619845967,9.520631534,10.33993069
AT1G69570,9.118413463,8.089899879,7.960240676
AT1G69690,7.830785567,8.339892177,8.200258005
AT1G69780,7.251848392,8.449499394,7.800059688
AT1G70920,3.821571134,4.839568708,4.280161734
AT1G71450,5.480077016,5.529915282,5.419819012
AT1G72740,8.649738144,8.479930685,8.390009627
AT1G74480,4.840400485,5.100454396,5.689890252
AT1G74650,5.979661128,5.759884475,5.609680382
AT1G74840,9.978813948,9.209537902,8.610179063
AT1G75240,9.090308065,9.289915282,9.180146331
AT1G75390,7.969861371,7.880531413,8.570175212
AT1G76420,5.909661128,5.690223347,5.979922984
AT1G76880,7.310431292,7.590962704,8.83990758
AT1G76890,8.929168223,8.38957641,7.840055837
AT1G77200,2.152695572,3.899268345,2.95009627
AT1G77920,7.409183627,6.879414676,6.120065464
AT1G78700,8.070477501,8.379768951,8.079965343
AT1G79180,3.600030807,3.621332383,5.349792056
AT1G79580,5.719969193,5.700315767,6.109930685
AT1G80840,7.3690604,6.760177138,6.98992876
AT2G01060,9.629830564,9.519822862,9.28997497
AT2G01930,7.930246452,8.08962262,7.600107823
AT2G01940,6.920585324,7.299499394,6.650261856
AT2G02070,8.870184839,8.989761249,8.680242602
AT2G02080,9.599845967,9.499537902,8.900032732
AT2G02450,8.1090604,7.499853669,7.310028881
AT2G02820,6.219845967,6.119730443,5.770067389
AT2G03340,7.909707338,7.719453184,7.010215646
AT2G03500,6.97990758,6.91957641,6.370009627
AT2G04038,2.273820011,4.748190116,2.400465949
AT2G06200,4.4976433,2.96990758,2.849998075
AT2G15740,5.699645725,5.470115525,5.619884475
AT2G18060,5.46,5.459753548,5.140063538
AT2G18160,11.53958411,11.2700231,11.30006931
AT2G18350,6.399984597,6.389553305,5.81021372
AT2G18380,6.599815161,6.480023105,6.509874848
AT2G18550,6.840308065,7.039992298,7.029936462
AT2G20110,6.270924196,6.870100121,6.999768951
AT2G20400,7.030369679,7.269830564,7.050030807
AT2G22430,10.70109363,11.40853669,9.510227198
AT2G22540,9.29,9.289869072,9.120159809
AT2G23290,8.727088782,6.840877986,7.980026956
AT2G23320,9.179722741,8.999876774,8.839901804
AT2G23340,7.700446695,7.989884475,7.840161734
AT2G24430,6.300462098,6.599869072,6.429957641
AT2G26960,4.858783142,4.069561007,3.500050061
AT2G27300,3.322248878,4.7795302,4.169747771
AT2G28810,9.039630322,8.799468587,8.110161734
AT2G30250,7.150246452,7.310146331,7.500319618
AT2G30340,2.550785567,3.059391571,2.269874848
AT2G30590,8.479922984,8.429753548,8.110013478
AT2G31230,6.730277259,6.90924524,5.930028881
AT2G32460,5.140215646,5.27882165,3.750290737
AT2G33710,4.820492905,5.137412251,1.779973044
AT2G35530,7.150385082,7.399899879,7.27002503
AT2G35700,7.729306853,7.279507095,6.640030807
AT2G36010,7.279630322,7.039838266,6.829728517
AT2G36270,3.832726379,5.598991086,4.289959566
AT2G37590,7.219830564,7.110161734,7.320032732
AT2G38340,0.901725166,2.020169436,2.240487128
AT2G38470,8.119922984,8.070361977,8.539926834
AT2G40260,7.189568708,6.909784354,6.63
AT2G40620,7.310323469,7.519792056,7.250136704
AT2G40740,3.802618556,5.499776653,5.210028881
AT2G41690,4.260816373,4.789422377,4.040038508
AT2G42200,7.34,7.339322256,6.460100121
AT2G42430,6.590277259,6.76995379,6.709992298
AT2G43000,5.959876774,5.880223347,6.170030807
AT2G44840,4.5409396,5.149992298,5.139607217
AT2G44940,7.771540327,8.768937174,7.389990373
AT2G45420,6.119691935,5.920192541,6.169749697
AT2G45680,7.999168223,7.459614918,6.960144406
AT2G46270,7.489676531,7.279414676,6.520050061
AT2G46590,6.729830564,6.61990758,6.500030807
AT2G46680,8.00004621,8.029738144,7.689948014
AT2G46770,4.280955003,4.898598302,3.080034657
AT2G47070,9.849383869,9.449815161,9.209894103
AT3G01220,5.549168223,5.010354275,5.470036583
AT3G01530,3.51004621,3.540716252,4.469909506
AT3G01970,3.37,3.371678957,5.549926834
AT3G02940,4.038336447,2.96004621,3.020013478
AT3G03200,5.82995379,5.799899879,5.669971119
AT3G04030,7.569892177,7.4990604,6.280215646
AT3G04060,3.290816373,3.820654639,4.670248378
AT3G04070,5.580354275,5.809992298,5.800109748
AT3G06490,6.299445482,5.940400485,6.459897953
AT3G08500,3.581802183,4.749792056,4.479886401
AT3G09600,9.069260643,8.589353063,7.749630322
AT3G09735,10.11035428,10.33977665,10.04996342
AT3G10030,8.070215646,8.210539114,8.910123226
AT3G10500,8.710138629,8.800261856,9.140013478
AT3G10580,6.400431292,6.679915282,6.570019254
AT3G10800,8.841401698,9.750877986,10.89006931
AT3G11280,10.52964572,10.29994609,10.2298941
AT3G11440,7.459876774,7.380346574,7.829911431
AT3G12130,8.880385082,9.129607217,8.620078942
AT3G12250,7.359722741,7.179445482,6.46009627
AT3G12720,2.488228624,1.340292662,1.72009627
AT3G12730,7.700462098,7.999961492,7.95002118
AT3G13810,6.621278471,7.44915282,6.349722741
AT3G14180,7.090985809,7.729915282,7.619969193
AT3G15170,3.477366041,1.770207944,2.040080867
AT3G15210,8.210200243,8.339353063,7.500023105
AT3G15270,6.779460886,6.429353063,5.590296513
AT3G15500,6.15009242,6.210115525,6.36007124
AT3G16280,6.999753548,6.839553305,6.259959566
AT3G17730,5.76835185,4.700061613,4.780011552
AT3G18400,3.679460886,3.330646937,4.169663053
AT3G18990,8.659984597,8.650107823,8.789936462
AT3G20310,8.950015403,8.959853669,8.770103972
AT3G20770,10.09038508,10.33959952,9.820073166
AT3G21890,7.839738144,7.669969193,7.629936462
AT3G22760,8.139507095,7.820161734,8.030080867
AT3G22830,2.478490479,1.501109035,2.939715039
AT3G23220,4.668983384,4.01070855,4.929872923
AT3G24050,7.453373316,9.639276046,8.700177138
AT3G24120,9.299707338,9.109738144,8.769967268
AT3G24520,7.070231049,7.219553305,6.640057762
AT3G25990,5.25,5.249175925,4.180248378
AT3G26790,6.489507095,6.17037738,6.659861371
AT3G27010,7.060985809,7.699545604,7.109973044
AT3G27785,3.101755973,4.239853669,4.049738144
AT3G28920,8.589969193,8.569360764,7.740026956
AT3G30210,3.790015403,3.801517222,5.769793981
AT3G42860,1.30070855,1.760408187,2.290123226
AT3G45610,2.34169436,3.440169436,3.660179063
AT3G46590,9.1409396,9.749684233,9.339896028
AT3G47500,11.4699846,11.45908351,10.27006546
AT3G49530,8.429399272,8.040215646,8.319998075
AT3G50060,9.427982172,8.120978108,9.390136704
AT3G50260,5.42084718,5.969815161,5.730044284
AT3G50410,7.620477501,7.929915282,7.820075091
AT3G53200,4.085471438,1.152549241,4.460051986
AT3G55370,6.60995379,6.579761249,6.27002118
AT3G56400,10.04807459,8.800154033,9.000111674
AT3G56850,8.530616131,8.929976895,8.900053911
AT3G57920,6.599476289,6.259052699,5.030050061
AT3G60490,5.760246452,5.91962262,5.430013478
AT3G60530,7.181032019,7.849599515,7.330155958
AT3G60580,5.158536689,4.211055124,5.579487841
AT3G61150,7.550338872,7.770130928,7.940065464
AT3G62420,10.8281208,9.610546816,10.32032347
AT4G00730,8.721232262,9.520146331,9.710015403
AT4G01250,6.949568708,6.670462098,7.269940312
AT4G01280,8.540369679,8.779869072,8.610057762
AT4G01500,6.660061613,6.699722741,6.339880625
AT4G01550,6.999691935,6.800385082,7.300190615
AT4G01680,6.091848392,7.289122014,6.150077016
AT4G04890,8.961971619,10.23980746,9.989944163
AT4G05100,6.109122014,5.539722741,5.179917207
AT4G10350,5.459861371,5.370200243,5.629934536
AT4G11660,7.32409727,9.981124439,11.43984982
AT4G14770,9.179137417,8.619445482,7.900038508
AT4G15090,7.710462098,8.009738144,7.670138629
AT4G16150,7.440739357,7.920207944,8.189921058
AT4G16750,6.630200243,6.759876774,6.599884475
AT4G17980,6.47004621,6.498767738,4.899924909
AT4G18170,5.408290237,4.299638023,3.830136704
AT4G18450,4.371293875,5.210231049,5.509703487
AT4G18770,5.881062826,6.569884475,6.419971119
AT4G18880,7.350662341,7.780184839,8.019971119
AT4G18890,7.859645725,7.629869072,7.459955716
AT4G21080,5.828321044,4.740030807,4.780034657
AT4G22070,5.979568708,5.700138629,5.879976895
AT4G24020,8.840138629,8.930154033,9.129980746
AT4G24240,7.300308065,7.499992298,7.489803608
AT4G25470,5.829414676,5.449992298,5.440236825
AT4G25480,5.280292662,5.470061613,5.549949939
AT4G25490,2.978721529,2.150877986,3.290161734
AT4G26640,9.359892177,9.289676531,8.869990373
AT4G28500,4.619722741,4.440169436,4.660103972
AT4G29230,3.319630322,3.079984597,3.06011745
AT4G31060,7.159584112,6.889676531,6.470086643
AT4G31800,6.280585324,6.65957641,6.110123226
AT4G32730,8.109938387,8.069892177,7.929813235
AT4G32800,7.205933537,4.570338872,5.010315767
AT4G34410,4.2009396,4.808190116,2.460383156
AT4G34590,8.459922984,8.409930685,8.320248378
AT4G36160,5.999738144,5.830246452,6.150105897
AT4G36620,6.130231049,6.279237538,5.28997497
AT4G36740,1.680015403,1.690978108,2.960030807
AT4G36780,8.889353063,8.469930685,8.38014248
AT4G37180,8.250308065,8.450138629,8.630034657
AT4G37260,9.397150395,7.550962704,8.800059688
AT4G38000,5.601802183,6.769237538,5.779832489
AT4G38170,7.729707338,7.539768951,7.240084718
AT5G01380,4.220554518,4.579460886,3.880161734
AT5G02460,6.531201455,7.309699636,6.920150182
AT5G02840,11.29043129,11.5700154,11.59013478
AT5G03150,6.838151608,5.638459673,3.640550667
AT5G03790,4.249984597,4.239745846,3.910026956
AT5G04390,5.200631534,5.610308065,6.00978628
AT5G04410,10.24078557,10.75087028,11.88
AT5G05550,6.779368466,6.370084718,6.480109748
AT5G05790,7.699306853,7.249283748,6.31990373
AT5G06100,7.090554518,7.449815161,7.210034657
AT5G06950,8.240215646,8.380107823,8.52
AT5G06960,8.219568708,7.940030807,7.980105897
AT5G07310,3.122387507,4.670161734,4.880028881
AT5G07680,5.239753548,5.079507095,4.440161734
AT5G08130,8.721540327,9.719014191,8.440119375
AT5G08330,10.90967653,10.69973044,10.35026378
AT5G08520,9.099537902,8.800184839,9.040263781
AT5G08750,8.899876774,8.819930685,8.730007702
AT5G09410,9.880431292,10.15990758,10.03993261
AT5G10030,8.040646937,8.459214433,7.439888326
AT5G10510,6.95990758,6.899838266,6.68990373
AT5G11260,7.440123226,7.520038508,7.57002118
AT5G11510,6.621001213,7.268482778,5.299555231
AT5G13080,3.177196605,1.361347786,3.10995379
AT5G13180,11.13853669,10.18917593,9.120204093
AT5G13790,2.729676531,2.519676531,2.099932611
AT5G13910,7.920338872,8.139915282,8.030042359
AT5G14960,6.230446695,6.519738144,6.179905655
AT5G15830,8.248921771,7.549830564,7.330069315
AT5G16820,7.360169436,7.469691935,7.070067389
AT5G17300,9.119522499,8.810747059,9.779792056
AT5G17800,6.159892177,6.089845967,5.890009627
AT5G18270,6.240154033,6.340061613,6.419830564
AT5G18450,6.829861371,6.740200243,6.999946089
AT5G18560,6.42,6.4195302,5.810078942
AT5G19790,3.209630322,2.971193753,4.519849818
AT5G22990,4.035610068,1.191424803,3.039986522
AT5G24110,1.90084718,2.450631534,3.269890252
AT5G25190,9.448783142,8.659430079,7.919944163
AT5G25810,6.809460886,6.460169436,6.679971119
AT5G29000,6.620261856,6.790077016,6.890017329
AT5G39610,5.849922984,5.800361977,6.270026956
AT5G39760,7.119507095,6.799630322,6.320011552
AT5G39820,1.960061613,2.000554518,2.720098196
AT5G45300,8.139984597,8.129730443,7.779990373
AT5G46350,6.47004621,6.499645725,6.040077016
AT5G46590,4.848274834,3.729337659,2.869896028
AT5G46830,5.739691935,5.53825943,3.280336947
AT5G47220,7.449630322,7.210400485,7.730003851
AT5G47230,4.721494117,5.690107823,5.829801683
AT5G47370,9.860184839,9.979761249,9.67007124
AT5G47390,9.790523711,10.12988448,9.980044284
AT5G51190,5.700539114,6.05084718,7.149801683
AT5G51990,5.419938387,5.379014191,4.099884475
AT5G52020,4.881832989,6.070077016,6.169614918
AT5G52660,8.020154033,8.119984597,8.100098196
AT5G52830,6.039044997,5.420408187,5.949672681
AT5G53950,6.529029594,5.900446695,6.479959566
AT5G54230,3.149722741,2.969430079,2.230130928
AT5G56110,5.589922984,5.540454396,6.130061613
AT5G58850,2.339645725,2.110854882,3.219876774
