"GeneID","X60mins","X240mins","X480mins","X720mins","X1440mins","X2160mins","X3600mins"
"41","AT1G01310",0.216,0.091,0.048,0.04,0.094,0.12,0.266
"42","AT1G01320",140.364,82.763,65.948,59.786,75.894,62.535,69.642
"43","AT1G01335",0,0,0,0,0,0,0
"44","AT1G01340",2.699,3.319,3.179,3.731,3.469,4.083,5.582
"45","AT1G01350",13.486,12.673,12.369,14.239,16.013,14.699,14.548
"46","AT1G01355",0.21,0.098,0.106,0.324,0.25,0.27,0.274
"47","AT1G01360",15.625,12.177,11.941,11.244,11.154,12.143,12.966
"48","AT1G01370",2.442,2.011,2.077,1.658,1.28,0.852,0.608
"49","AT1G01380",2.21,2.338,2.772,2.489,1.867,1.629,0.598
"50","AT1G01390",13.794,20.539,17.844,19.16,15.694,13.316,8.055
"51","AT1G01400",0,0,0,0,0,0,0.042
"52","AT1G01410",0,0,0,0,0,0,0
"53","AT1G01420",1.534,1.439,1.684,1.51,1.56,1.973,1.778
"54","AT1G01430",57.091,52.398,51.963,52.352,46.078,52.991,55.403
"55","AT1G01440",13.41,12.576,12.445,13.344,15.588,17.752,22.249
"56","AT1G01448",5.534,6.774,6.784,7.618,10.328,11.15,12.243
"57","AT1G01450",0,0,0.017,0,0,0,0
"58","AT1G01453",0.03,0.105,0.062,0.022,0.067,0,0
"59","AT1G01460",0,0,0,0,0,0,0
"60","AT1G01470",78.878,71.876,80.905,72.161,84.121,64.398,47.745
"61","AT1G01480",2.737,2.284,2.01,1.61,1.99,2.333,2.712
"62","AT1G01490",12.352,14.89,17.406,22.836,27.81,32.113,36.887
"63","AT1G01500",2.173,4.668,4.332,4.577,4.806,5.441,6.893
"64","AT1G01510",14.728,18.494,19.679,19.268,17.105,16.145,14.574
"65","AT1G01520",2.246,0.393,0.574,0.53,0.744,0.594,0.875
"66","AT1G01530",0,0,0,0.022,0,0,0
"67","AT1G01540",55.653,50.992,48.798,49.357,51.139,50.681,54.986
"68","AT1G01550",81.466,88.623,96.168,100.766,106.933,127.102,153.504
"69","AT1G01560",0.282,0.257,0.152,0.18,0.239,0.138,0.176
"70","AT1G01570",1.216,0.906,0.94,0.897,1.038,0.976,0.612
"71","AT1G01580",0.643,0.59,0.5,0.416,0.502,0.436,0.392
"72","AT1G01590",0.019,0.058,0.018,0.016,0.035,0,0.019
"73","AT1G01600",15.37,8.242,8.993,9.335,6.656,6.023,2.675
"74","AT1G01610",57.421,40.774,40.053,35.71,38.499,39.316,41.12
"75","AT1G01620",1157.197,1397.728,1581.146,1907.956,2018.459,2262.119,1762.887
"76","AT1G01630",31.291,28.056,27.152,29.029,27.829,23.787,19.489
"77","AT1G01640",5.664,6.97,8.714,10.241,15.11,20.407,23.382
"78","AT1G01650",17.233,20.907,21.712,21.577,22.159,23.144,29.745
"79","AT1G01660",0.138,0.12,0.194,0.214,0.18,0.246,0.21
"80","AT1G01670",0.138,0.239,0.273,0.163,0.204,0.29,0.368
"81","AT1G01680",1.507,0.499,1.142,0.823,0.568,0.336,0.363
"82","AT1G01690",2.067,2.124,1.996,1.969,1.621,1.452,1.055
"83","AT1G01695",0.129,0.064,0.057,0.048,0.074,0.07,0.132
"84","AT1G04033",0,0.306,0.062,0.127,0.072,0.062,0.344
"85","AT1G04037",2.615,3.149,3.696,3.052,1.699,2.622,1.822
"86","AT1G01700",1.385,1.525,1.478,1.405,2.038,1.766,1.579
"87","AT1G01710",21.436,21.639,23.183,26.063,28.626,30.689,28.217
"88","AT1G01715",3.177,2.511,2.654,2.601,2.048,2.253,1.947
"89","AT1G04043",0,0,0,0,0,0,0
"90","AT1G01720",30.905,30.822,31.728,34.019,48.873,49.27,55.745
"91","AT1G01725",7.768,10.566,11.229,10.113,11.273,12.837,11.363
"92","AT1G04047",0.736,1.345,1.09,1.096,1.58,1.089,0.834
"93","AT1G01730",11.878,16.287,16.476,17.374,18.342,20.365,30.369
"94","AT1G01740",1.764,1.998,1.905,1.928,1.8,1.684,1.626
"95","AT1G01750",1.22,0.982,0.868,0.602,0.564,0.156,0.476
"96","AT1G04053",0,0,0,0,0,0,0
"97","AT1G01760",2.264,3.329,3.34,2.832,2.686,3.077,2.688
"98","AT1G04057",0,0,0,0,0,0,0
"99","AT1G01770",12.546,16.642,19.148,20.266,35.286,38.557,43.645
"100","AT1G01780",34.485,33.855,36.531,40.805,56.451,64.844,58.801
"101","AT1G01790",39.822,38.044,29.289,21.799,12.922,9.501,9.653
"102","AT1G04063",0,0,0,0,0,0,0
"103","AT1G01800",43.682,44.882,45.052,44.281,37.271,34.969,33.36
"104","AT1G01810",0.59,0.567,0.396,0.801,0.596,0.507,0.27
"105","AT1G01820",39.079,45.846,50.537,49.271,55.508,60.366,71.215
"106","AT1G01830",5.322,6.324,6.248,7.168,9.255,8.364,8.162
"107","AT1G04067",0,0,0,0,0,0,0
"108","AT1G01840",0.11,0.048,0.029,0.04,0.026,0.028,0
"109","AT1G01860",7.261,7.12,5.161,5.619,5.216,4.604,3.866
"110","AT1G04073",0.317,0.098,0.298,0.242,0,0.097,0
"111","AT1G01870",0,0,0,0,0,0,0
"112","AT1G01880",0.712,0.964,0.836,0.973,0.942,0.634,0.752
"113","AT1G01890",0,0,0,0,0,0,0
"114","AT1G01900",2.876,2.857,3.232,3.038,3.657,2.8,1.574
"115","AT1G04077",0,0,0,0,0,0,0
"116","AT1G01910",20.236,21.994,21.96,18.792,15.087,15.127,15.139
"117","AT1G04083",0.179,0.072,0.082,0.061,0,0,0.175
"118","AT1G01920",5.826,5.658,5.412,5.582,5.552,5.621,5.997
"119","AT1G01930",7.396,8.299,7.934,8.547,10.114,9.524,9.788
"120","AT1G01940",10.351,10.468,8.966,9.462,9.09,7.516,8.066
"121","AT1G01950",10.628,10.691,10.563,9.998,9.21,7.982,8.382
"122","AT1G01960",28.222,34.629,32.464,31.681,30.318,28.261,31.282
"123","AT1G01970",25.22,20.617,18.015,14.498,11.683,10.2,9.689
"124","AT1G01980",0,0,0,0,0,0.012,0.025
"125","AT1G01990",9.289,11.337,11.035,11.256,14.849,16.084,21.322
"126","AT1G02000",7.96,7.716,7.443,7.545,8.306,10.864,10.744
"127","AT1G02010",9.158,8.901,9.759,9.583,11.995,12.633,9.977
"128","AT1G02020",7.322,7.632,7.535,8.052,9.892,11.861,13.706
"129","AT1G02030",0.328,0.387,0.154,0.151,0.464,0.288,0.306
"130","AT1G02040",0,0,0,0,0,0,0
"131","AT1G02050",3.332,4.556,4.335,4.891,5.662,5.104,7.199
"132","AT1G02060",3.324,4.359,3.636,4.237,4.878,4.625,6.014
"133","AT1G02065",0.086,0.018,0.12,0.084,0.104,0.144,0.012
"134","AT1G02067",0,0,0,0,0,0,0
"135","AT1G02070",0.056,0.109,0.029,0.122,0.266,0.212,0.184
"136","AT1G02080",36.019,38.429,36.473,37.508,43.489,42.075,43.882
"137","AT1G02090",20.438,16.706,16.477,16.3,15.108,14.192,15.056
"138","AT1G02100",33.188,36.872,39.325,45.306,57.326,69.017,82.656
"139","AT1G02110",12.224,14.771,16.678,18.687,18.654,15.337,13.238
"140","AT1G02120",33.656,39.475,42.26,42.066,43.7,48.11,52.025
"141","AT1G02130",37.346,38.944,34.4,37.531,38.764,42.897,44.65
"142","AT1G04087",0,0,0,0,0,0,0
"143","AT1G02136",0,0,0,0,0,0,0
"144","AT1G02140",90.205,89.923,90.347,89.962,88.325,96.656,106.939
"145","AT1G02145",14.728,14.889,15.204,14.907,13.873,13.716,13.337
"146","AT1G02150",55.351,60.946,58.974,55.553,57.779,49.593,51.752
"147","AT1G02160",19.979,20.521,19.204,21.353,15.79,14.094,14.382
"148","AT1G02170",18.182,23.294,26.044,28.241,30.34,33.594,33.61
"149","AT1G02180",7.605,6.535,6.337,5.333,4.804,4.168,3.002
"150","AT1G02190",0.16,0.101,0.042,0.07,0.09,0.098,0.02
"151","AT1G02205",49.375,24.915,19.63,20.555,28.511,24.724,18.94
"152","AT1G04093",0.094,0.046,0,0,0,0,0
"153","AT1G02210",0,0,0,0,0,0,0
"154","AT1G02220",10.96,6.909,7.359,6.995,5.958,3.475,2.344
"155","AT1G02228",0,0,0,0,0,0,0
"156","AT1G02230",0.244,0.334,0.375,0.296,0.246,0.29,0.195
"157","AT1G02250",0.04,0.017,0.02,0.053,0.06,0.04,0
"158","AT1G02260",7.834,9.947,10.164,9.506,8.662,8.095,8.355
"159","AT1G02270",11.076,10.953,10.748,10.108,10.348,9.827,10.413
"160","AT1G02280",125.073,110.242,108.937,108.892,112.242,87.368,68.053
"161","AT1G02290",7.743,7.958,7.337,6.318,5.95,5.342,5.741
"162","AT1G02300",13.665,18.145,16.985,15.714,17.694,20.428,21.918
"163","AT1G02305",83.194,104.183,124.091,133.764,160.419,187.904,205.665
"164","AT1G04097",0.077,0.33,0.36,0.21,0,0.154,0.241
"165","AT1G02310",0.256,0.058,0.09,0.09,0.204,0.03,0.19
"166","AT1G04103",0.018,0.017,0,0.018,0.016,0,0
"167","AT1G02320",0,0,0,0,0,0,0
"168","AT1G02330",18.582,18.062,17.68,18.041,19.345,19.51,20.209
"169","AT1G02335",20.349,17.936,18.768,21.444,20.885,22.018,17.249
"170","AT1G02340",35.934,51.091,59.711,71.482,100.66,125.343,146.827
"171","AT1G02350",2.928,3.43,3.392,4.601,3.827,3.966,3.912
"172","AT1G02360",4.154,3.79,3.834,4.202,2.745,3.631,3.106
"173","AT1G02370",1.363,1.438,1.277,1.141,1.134,1.052,1.836
"174","AT1G02380",1.341,0.81,0.815,0.636,0.818,0.638,1.157
"175","AT1G02390",0.728,0.58,0.511,0.475,0.325,0.435,0.71
"176","AT1G02400",15.047,18.353,19.145,17.931,18.825,13.198,11.306
"177","AT1G02405",0.066,0.106,0.156,0.233,0.296,0.51,0.771
"178","AT1G02410",13.265,13.223,13.35,12.492,10.501,8.521,6.348
"179","AT1G02420",0.596,0.675,0.679,0.541,0.472,0.54,0.482
"180","AT1G04117",0,0,0,0,0,0,0
"181","AT1G02430",0.458,0.378,0.261,0.368,0.383,0.417,0.548
"182","AT1G04123",0,0,0,0,0,0,0
"183","AT1G02440",0.217,0.288,0.195,0.383,0.234,0.25,0.294
"184","AT1G02450",0.233,0.1,0.115,0.218,0.162,0,0.041
"185","AT1G02460",2.094,1.326,1.362,1.382,1.111,0.762,0.358
"186","AT1G02470",1.446,1.209,1.758,2.194,4.594,7.896,19.22
"187","AT1G02475",37.201,32.463,26.744,21.529,15.301,14.659,17.939
"188","AT1G02480",0,0,0,0,0,0,0
"189","AT1G02490",0.082,0.908,0.241,0.324,0,0,0
"190","AT1G02500",236.516,272.491,281.359,305.127,312.632,332.157,322.135
"191","AT1G02510",0,0,0,0,0,0,0
"192","AT1G02520",2.038,2.55,2.418,2.353,2.707,3.645,3.75
"193","AT1G02530",0.027,0.026,0.022,0.042,0.016,0.017,0.022
"194","AT1G02540",0,0,0,0,0,0,0
"195","AT1G02550",0,0,0,0,0,0,0
"196","AT1G02560",169.817,159.761,133.654,112.875,76.947,61.75,68.7
"197","AT1G02570",0.114,0.068,0.024,0.056,0.048,0.068,0.048
"198","AT1G02575",0.155,0.079,0.132,0.142,0.066,0.09,0.049
"199","AT1G02580",0.144,0.116,0.155,0.157,0.152,0.136,0.237
"200","AT1G04127",0.092,0,0,0.234,0.11,0,0
"201","AT1G02590",0,0,0,0,0,0,0
"202","AT1G02600",0,0,0,0,0,0,0
"203","AT1G02610",3.201,5.582,6.25,6.454,11.386,12.356,15.948
"204","AT1G02620",0.773,2.29,1.748,1.446,2.322,1.852,2.712
"205","AT1G04133",0,0,0,0,0,0,0
"206","AT1G04137",0,0,0,0,0,0.048,0
"207","AT1G02630",0.286,0.219,0.259,0.232,0.211,0.117,0.267
"208","AT1G02640",107.864,137.194,110.016,109.659,94.028,82.023,64.987
"209","AT1G02650",1.168,1.849,1.944,2.144,2.016,2.633,2.39
"210","AT1G02660",20.975,28.17,35.937,39.636,40.626,41.412,43.355
"211","AT1G02670",1.23,1.501,1.49,1.77,1.401,1.246,0.73
"212","AT1G02680",9.735,10.061,12.499,13.304,14.97,14.476,15.351
"213","AT1G02681",0,0,0.036,0.037,0,0.036,0
"214","AT1G04143",0,0,0,0,0,0,0
"215","AT1G02690",6.354,5.876,6.656,6.096,4.966,4.239,4.341
"216","AT1G02700",1.912,1.709,1.502,2.244,2.584,3.22,3.678
"217","AT1G02705",0.329,0.341,0.112,0.078,0.113,0.159,0.226
"218","AT1G02710",0,0,0,0,0,0,0
"219","AT1G02720",6.131,5.434,5.244,5.095,3.899,2.915,1.902
"220","AT1G02730",11.728,9.937,9.863,8.568,5.088,3.606,2.441
"221","AT1G02740",4.224,3.825,4.088,4.016,4.401,4.136,4.351
"222","AT1G02750",11.41,12.546,14.785,15.053,17.947,19.372,18.364
"223","AT1G02760",0,0,0,0,0,0,0
"224","AT1G02770",1.168,0.904,1.254,0.944,1.164,1.084,1.064
"225","AT1G02780",346.565,284.325,272.15,288.755,239.206,222.511,196.775
"226","AT1G02790",0,0,0,0,0,0.014,0
"227","AT1G02800",10.109,11.255,10.217,9.076,7.228,4.501,0.948
"228","AT1G02810",3.723,2.95,2.766,3.672,3.464,2.717,2.547
"229","AT1G02813",0,0,0.07,0,0,0,0
"230","AT1G02816",16.057,16.8,16.788,18.308,18.448,20.34,22.02
"231","AT1G02820",0.758,0.748,0.658,0.929,0.966,0.718,0.882
"232","AT1G02830",0,0.045,0,0,0,0,0
"233","AT1G02840",65.156,76.001,88.247,95.211,138.96,171.647,201.25
"234","AT1G02850",24.91,30.593,31.743,28.938,49.945,42.911,55.619
"235","AT1G02860",18.863,24.668,26.881,29.946,40.272,50.641,67.599
"236","AT1G04147",1.087,0.615,0.904,1.386,1.542,1.91,2.442
"237","AT1G02870",10.863,9.393,8.877,10.421,10.854,10.032,11.637
"238","AT1G04153",0.054,0.044,0.102,0.036,0,0.098,0.196
"239","AT1G02880",12.19,8.977,8.76,9.056,9.626,9.986,9.608
"240","AT1G02890",36.987,37.708,37.726,36.834,42.614,43.138,47.293
"241","AT1G02900",22.804,22.937,22.988,23.571,19.802,18.928,17.27
"242","AT1G02910",28.954,25.928,23.985,22.367,18.758,18.374,17.619
"243","AT1G02920",13.114,10.103,10.712,11.787,13.372,12.927,31.461
"244","AT1G02930",8.509,5.712,5.261,5.445,9.412,6.83,22.984
"245","AT1G02940",0.022,0,0,0,0.044,0,0.076
"246","AT1G02950",5.788,6.375,8.188,7.141,4.261,3.846,3.056
"247","AT1G02952",0.038,0,0,0,0,0,0
"248","AT1G02960",11.456,12.817,13.058,12.513,13.182,13.465,15.232
"249","AT1G02965",0.045,0.046,0,0,0,0,0
"250","AT1G02970",1.984,1.468,1.545,1.239,0.662,0.398,0.264
"251","AT1G02980",0.038,0.016,0,0.02,0.02,0.019,0.056
"252","AT1G02990",5.76,7.271,6.058,5.841,6.583,5.224,6.024
"253","AT1G03000",13.846,13.595,13.053,12.511,12.004,11.707,12.118
"254","AT1G03010",0.438,0.883,0.812,0.688,0.915,1.23,0.867
"255","AT1G03020",0.07,0,0,0,0,0,0.038
"256","AT1G03030",10.241,10.948,11.009,10.39,9.399,8.428,8.216
"257","AT1G03040",25.138,21.619,21.444,20.751,22.346,24.428,29.962
"258","AT1G03050",0,0,0.011,0,0,0,0
"259","AT1G03055",0.698,0.46,0.145,0.1,0.136,0.083,0.023
"260","AT1G03060",10.175,12.008,11.624,11.701,14.214,12.159,13.202
"261","AT1G03070",1.517,1.196,1.28,1.228,1.222,1.036,1.847
"262","AT1G03080",26.283,27.945,28.295,30.358,42.673,38.492,41.01
"263","AT1G03090",52.938,144.518,215.324,252.773,447.978,488.88,430.795
"264","AT1G04157",0.219,1,2.35,2.066,1.942,1.665,2.502
"265","AT1G03100",0.334,0.434,0.373,0.497,0.526,0.694,0.672
"266","AT1G04163",0,0,0,0,0,0,0
"267","AT1G03103",0.034,0.036,0,0.036,0,0.076,0.04
"268","AT1G03106",9.146,11.621,8.684,7.684,10.208,10.559,12.803
"269","AT1G03110",6.618,6.004,5.085,4.36,3.586,2.848,2.593
"270","AT1G03120",1.4,1.393,2.156,2.377,2.476,2.347,2.22
"271","AT1G03130",381.517,340.004,276.738,292.989,167.611,136.037,126.635
"272","AT1G03140",29.983,34.802,40.346,47.944,60.581,63.661,60.471
"273","AT1G03150",24.293,23.625,23.117,18.484,18.553,16.936,17.639
"274","AT1G04167",0,0,0,0.155,0,0,0
"275","AT1G03160",24.972,23.328,21.7,21.186,24.38,21.573,20.831
"276","AT1G03165",0.797,0.35,0.609,0.9,0.9,1.239,1.848
"277","AT1G04173",0.35,0.224,0.334,1.038,0.556,0.342,0.708
"278","AT1G03170",1.786,0.756,0.574,0.459,0.426,0.488,0.798
"279","AT1G03180",2.684,2.305,2.133,1.833,1.632,1.194,1.397
"280","AT1G03190",5.629,5.697,5.172,5.322,5.341,5.135,5.139
"281","AT1G04177",0,0,0,0,0,0,0
"282","AT1G03200",4.62,6.242,6.068,7.052,11.356,16.975,25.334
"283","AT1G03210",16.114,20.233,21.419,21.024,18.11,20.273,22.465
"284","AT1G03220",84.208,90.928,99.374,114.222,154.171,177.525,240.657
"285","AT1G03230",23.993,26.981,25.446,24.947,23.288,20.499,20.034
"286","AT1G03240",0.135,0.11,0.258,0.042,0.088,0.262,0.047
"287","AT1G03250",15.108,12.872,12.477,11.983,11.797,10.692,10.697
"288","AT1G03260",9.513,10.982,10.163,10.488,9.552,8.086,8.143
"289","AT1G03270",1.98,2.074,1.687,1.446,1.407,0.862,0.65
"290","AT1G03280",18.415,18.761,19.796,18.984,19.637,19.514,20.745
"291","AT1G03290",4.276,5.79,8.083,8.852,15.16,16.8,17.395
"292","AT1G03300",0,0,0,0,0,0,0
"293","AT1G03310",14.279,11.587,8.448,6.543,3.225,2.389,2.272
"294","AT1G03320",2.352,1.561,1.365,1.09,0.942,0.494,0.215
"295","AT1G03325",0,0,0,0,0,0,0
"296","AT1G03330",27.954,27.062,27.592,24.386,21.13,17.628,17.937
"297","AT1G03340",1.199,1.228,1.212,1.132,1.002,0.637,1.027
"298","AT1G03350",32.625,29.675,29.123,31.087,28.695,29.605,31.02
"299","AT1G03360",3.939,3.311,2.573,2.686,1.947,2.125,1.992
"300","AT1G03365",6.417,7.036,6.812,6.585,7.498,7.015,6.344
"301","AT1G03370",10.26,11.053,11.386,10.942,12.236,12.654,16.168
"302","AT1G03380",15.986,23.172,23.401,25.285,34.689,38.36,44.945
"303","AT1G03390",0.048,0.016,0.033,0.016,0.016,0.17,0.222
"304","AT1G03395",0,0,0,0,0,0,0
"305","AT1G03400",1.91,2.849,3.639,4.127,6.426,7.553,10.18
"306","AT1G03410",2.008,2.414,2.08,2.372,2.654,4.099,4.101
"307","AT1G04183",0.024,0.012,0.012,0.008,0.011,0.012,0.022
"308","AT1G03420",0,0,0,0,0,0.021,0
"309","AT1G03430",16.283,19.432,18.854,17.568,16.417,17.871,17.207
"310","AT1G03440",7.311,7.07,7.046,8.726,9.337,10.712,10.978
"311","AT1G03445",0.846,0.755,0.635,0.832,0.788,0.74,0.528
"312","AT1G03457",17.457,17.739,16.118,17.008,19.778,19.094,19.047
"313","AT1G03470",11.186,9.601,11.59,10.392,15.287,18.368,22.445
"314","AT1G03475",133.26,119.317,106.444,93.398,62.48,49.413,40.697
"315","AT1G03490",0.168,0.024,0.084,0.04,0,0.056,0
"316","AT1G03495",1.856,1.346,1.292,1.525,1.63,1.495,2.184
"317","AT1G04187",1.267,1.679,0.884,0.921,1.078,1.222,1.178
"318","AT1G04193",1.408,1.898,1.391,1.252,1.157,0.611,2.559
"319","AT1G03502",0,0,0.21,0,0,0,0
"320","AT1G03506",3.503,3.212,1.884,3.175,2.715,2.965,3.654
"321","AT1G04197",3.203,4.44,3.078,3.218,1.93,4.207,2.751
"322","AT1G03510",1.07,1.088,1.059,0.809,0.721,0.502,0.499
"323","AT1G03515",0.306,0,0,0,0,0,0
"324","AT1G03520",14.162,12.455,13.382,13.418,13.418,13.733,13.12
"325","AT1G03530",2.829,2.797,2.662,2.726,3.205,3.127,4.364
"326","AT1G03540",0.813,0.814,0.678,0.696,0.672,0.795,0.502
"327","AT1G03550",1.874,1.665,1.972,1.606,3.026,3.628,3.338
"328","AT1G03545",0.048,0.076,0.107,0.208,0.394,0.661,0.66
"329","AT1G03560",4.724,3.809,3.617,3.186,2.791,2.727,3.535
"330","AT1G03570",0,0,0,0,0,0,0
"331","AT1G03580",0.867,1.719,2.144,2.824,4.54,6.061,12.47
"332","AT1G03590",41.511,33.389,34.718,33.737,34.505,32.463,32.834
"333","AT1G03600",153.793,140.548,125.632,132.809,114.54,98.884,82.49
"334","AT1G03610",18.651,29.118,37.332,45.546,61.401,72.141,76.572
"335","AT1G03620",0.793,0.91,0.904,0.982,1.362,1.631,2.066
"336","AT1G03630",97.197,67.195,53.387,40.659,15.258,10.694,4.488
"337","AT1G03640",0,0,0,0,0,0,0
"338","AT1G03650",0.925,1.371,1.276,1.078,1.284,1.044,1.607
"339","AT1G03660",0.744,1.048,1.24,0.721,0.6,0.79,0.544
"340","AT1G04203",0,0,0,0,0,0,0
"341","AT1G03670",0.014,0.012,0.012,0.012,0.026,0.013,0.042
"342","AT1G03680",129.195,133.53,108.424,92.386,63.689,51.559,49.142
"343","AT1G03687",7.816,7.78,8.319,7.149,5.982,4.381,4.01
"344","AT1G03700",0.194,0.657,0.614,0.538,0.496,1.153,0.788
"345","AT1G03710",0.042,0,0.112,0.064,0.05,0.024,0.044
"346","AT1G03720",0,0,0,0,0,0,0
"347","AT1G04207",0,0,0,0,0,0,0
"348","AT1G03730",6.568,6.571,6.746,6.951,4.792,5.582,6.586
"349","AT1G03740",7.6,10.276,9.149,10.128,10.749,11.369,14.546
"350","AT1G04213",0,0,0,0,0,0,0
"351","AT1G03743",0.912,0.246,0.296,0,0,0,0
"352","AT1G03746",0.29,0.234,0.282,0.197,0,0.576,0
"353","AT1G03750",2.812,3.165,3.646,3.085,3.208,3.289,3.859
"354","AT1G03760",2.8,3.915,3.24,4.256,5.431,6.647,8.729
"355","AT1G03770",2.961,3.523,3.818,3.803,3.963,3.517,3.833
"356","AT1G03780",3.342,3.47,3.715,3.697,3.397,2.242,1.567
"357","AT1G03790",10.91,11.688,14.198,19.126,27.029,27.946,27.615
"358","AT1G03800",1.032,1.506,1.936,2.479,3.923,3.135,2.141
"359","AT1G03810",0,0,0.056,0.078,0,0,0
"360","AT1G03820",3.638,3.097,3.087,3.518,3.035,2.26,2.907
"361","AT1G03830",1.99,2.256,2.132,2.085,2.117,1.582,1.225
"362","AT1G03840",0.686,0.558,0.451,0.598,0.621,0.784,0.398
"363","AT1G03850",21.524,28.812,34.081,41.331,46.183,49.199,56.055
"364","AT1G03860",23.47,20.325,19.197,19.294,19.721,18.74,24.943
"365","AT1G03870",628.442,614.773,715.224,836.355,765.515,813.014,556.183
"366","AT1G03880",8.291,4.953,3.035,3.973,5.261,0.906,3.267
"367","AT1G03890",0.525,0.291,0.141,0.172,0.245,0.048,0.242
"368","AT1G03900",82.301,93.971,102.781,112.092,127.641,141.53,149.22
"369","AT1G03905",4.396,2.894,3.304,3.011,2.618,2.21,1.82
"370","AT1G03910",22.16,22.753,25.762,27.637,36.611,36.458,35.141
"371","AT1G03920",4.85,4.842,3.482,2.694,4.533,4.122,2.781
"372","AT1G03930",29.326,21.211,21.855,19.904,19.247,17.819,17.937
"373","AT1G04217",8.242,8.216,7.121,7.457,5.646,7.242,8.929
"374","AT1G03935",22.2,15.458,18.279,15.837,20.717,20.038,28.735
"375","AT1G04223",4.622,4.115,3.006,2.021,1.157,2.365,1.788
"376","AT1G03940",1.835,1.386,0.792,1.27,1.181,1.238,2.052
"377","AT1G04227",0,0,0,0,0,0,0
"378","AT1G03950",8.012,9.442,9.033,9.447,9.331,9.515,9.203
"379","AT1G03960",3.163,4.095,4.09,4.17,4.982,5.434,7.949
"380","AT1G03970",5.322,5.911,6.838,7.786,10.907,12.969,16.024
"381","AT1G04233",0,0,0,0,0,0,0
"382","AT1G03980",0.194,0.262,0.289,0.216,0.06,0.056,0.125
"383","AT1G03982",0,0,0,0,0,0,0
"384","AT1G03990",3.479,3.633,3.423,4.242,4.61,5.051,6.115
"385","AT1G04000",12.702,11.957,10.699,12.756,11.148,10.913,12.649
"386","AT1G04010",5.709,5.557,5.285,5.077,5.749,6.122,6.412
"387","AT1G04020",4.87,3.788,3.79,3.004,1.7,1.236,0.569
"388","AT1G04030",4.476,4.212,4.527,4.922,4.829,4.559,3.909
"389","AT1G04040",153.505,103.69,108.091,93.876,56.191,43.866,24.702
"390","AT1G04237",1.758,1.808,1.638,0.647,0.588,0.474,0.56
"391","AT1G04050",1.277,1.04,1.103,1.149,0.968,0.978,0.858
"392","AT1G04070",7.115,5.515,4.431,4.548,3.499,4.221,5.101
