GeneID,60mins,180mins,360mins,720mins,1440mins
AT5G59400,15.479,28.561,29.977,26.27,24.611
AT5G59410,7.61,6.862,5.8,6.007,7.769
AT5G59420,23.471,23.349,28.109,34.898,37.591
AT5G59430,18.6,9.78,15.598,25.248,23.677
AT5G59440,3.013,2.986,4.159,6.661,6.681
AT5G59450,3.832,4.842,10.855,5.53,3.589
AT5G08920,0,0.169,0.26,0.108,0.077
AT5G59460,7.267,6.66,6.115,7.758,9.428
AT5G59470,3.006,2.233,2.457,2.684,4.066
AT5G59480,48.632,39.05,29.137,40.63,74.989
AT5G59490,0.08,0.028,0.086,0.088,0.007
AT5G59500,13.393,12.25,10.383,12.822,16.168
AT5G59510,0.523,0.132,0.172,0.426,0.317
AT5G59520,0.059,0.056,0.056,0.087,0.087
AT5G59530,0,0.013,0,0.022,0.19
AT5G59540,16.16,27.73,45.526,57.788,34.877
AT5G59550,17.163,6.483,10.193,12.045,6.49
AT5G59560,4.468,4.043,3.636,3.948,4.066
AT5G59570,0.115,0.096,0.401,1.347,0.989
AT5G59580,0,0,0.03,0,0
AT5G59590,0,0,0.01,0.017,0.006
AT5G59610,5.046,4.331,5.021,4.36,4.598
AT5G59600,0,0,0,0,0
AT5G59613,104.555,119.822,101.314,93.08,104.739
AT5G59616,0,0,0,0,0
AT5G59620,0.009,0,0,0,0.006
AT5G59630,0,0,0,0,0
AT5G59640,0.029,0.028,0.025,0.016,0.062
AT5G59650,1.06,0.643,0.595,0.598,1.23
AT5G59660,1.058,0.46,0.288,0.188,0.444
AT5G59662,0.33,0.097,0.068,0.035,0.097
AT5G59670,15.992,16.049,14.226,4.891,4.532
AT5G59680,1.698,4.947,2.97,1.88,0.304
AT5G59690,93.089,89.686,59.999,62.189,57.49
AT5G59700,3.407,1.568,1.726,1.541,1.969
AT5G59710,14.031,10.719,8.937,9.254,11.274
AT5G59720,1.749,1.794,1.369,1.746,1.24
AT5G59730,0.024,0,0,0,0
AT5G59732,0,0,0,0,0
AT5G59740,2.087,1.943,1.268,0.928,1.493
AT5G59750,29.6,26.42,22.358,25.244,25.777
AT5G59760,0.073,0.312,0.374,0.799,0.646
AT5G59770,35.209,34.663,28.681,20.345,24.889
AT5G59780,12.547,33.963,28.12,10.809,13.291
AT5G08930,0,0,0,0,0
AT5G59790,4.968,8.694,9.331,9.637,6.783
AT5G59800,5.594,5.558,4.716,3.627,5.547
AT5G59810,0,0,0,0,0
AT5G59820,34.209,4.87,20.002,20.056,9.883
AT5G59830,7.845,7.514,7.232,9.072,8.223
AT5G59840,12.622,13.395,13.075,14.305,19.909
AT5G08935,0,0,0,0,0
AT5G59845,1.308,0.65,0.252,0.134,0.316
AT5G59850,53.633,57.288,45.409,70.532,126.602
AT5G59860,0,0.037,0.212,0.063,0.314
AT5G59865,0.976,0.902,0.424,0.417,1.264
AT5G59870,68.169,75.516,51.092,55.194,46.351
AT5G08940,0,0,0,0,0
AT5G59880,189.742,218.392,213.639,206.559,227.189
AT5G59890,64.132,68.246,68.63,59.041,64.795
AT5G59895,0.08,0,0,0.175,0.054
AT5G59900,1.748,1.771,1.148,1.445,1.838
AT5G59910,85.788,72.802,55.741,82.216,73.515
