GeneID,60mins,240mins,480mins,720mins,1440mins,2160mins,3600mins
AT1G02710,0,0,0,0,0,0,0
AT1G02720,6.033,4.699,3.742,3.516,3.485,2.244,1.727
AT1G02730,12.997,6.789,5.248,4.37,2.854,2.215,1.764
AT1G02740,3.324,3.213,3.134,3.577,3.83,3.96,4.396
AT1G02750,10.409,12.316,12.296,14.494,15.372,16.351,15.78
AT1G02760,0,0,0,0,0,0,0
AT1G02770,1.132,1.37,1.222,1.364,1.6,1.947,1.719
AT1G02780,378.904,230.447,236.489,240.288,212.243,215.212,198.774
AT1G02790,0,0,0,0,0,0.014,0
AT1G02800,9.41,9.042,6.636,6.768,7.094,5.969,3.951
AT1G02810,3.372,2.852,2.332,2.558,3.66,2.86,2.397
AT1G02813,0.074,0,0,0.031,0.07,0,0
AT1G02816,43.564,73.576,49.518,47.898,37.717,38.24,36.812
AT1G02820,0.643,0.488,0.502,0.643,0.767,0.346,0.452
AT1G02830,0,0,0,0,0,0,0
AT1G02840,56.703,60.328,71.749,89.525,124.074,140.282,148.091
AT1G02850,19.543,30.267,48.603,62.543,69.272,62.965,70.079
AT1G02860,17.465,22.194,18.397,21.539,23.837,25.072,26.529
AT1G04147,0.687,0.532,0.465,0.306,0.97,1.006,1.073
AT1G02870,9.679,6.707,7.447,8.453,11.228,11.216,11.884
AT1G04153,0.05,0.084,0,0.048,0,0.095,0
AT1G02880,11.745,10.012,9.916,10.915,12.332,11.149,10.816
AT1G02890,33.977,36.221,36.291,38.87,46.255,45.01,47.756
AT1G02900,17.997,23.261,14.998,14.216,13.643,12.389,12.104
AT1G02910,29.059,21.474,21.276,18.209,16.824,17.261,16.675
AT1G02920,9.502,3.641,3.656,5.762,7.875,10.636,32.638
AT1G02930,5.855,2.609,3.466,4.393,10.261,10.834,23.515
AT1G02940,0,0,0.022,0.023,0,0.026,0
AT1G02950,4.864,7.988,8.396,7.825,3.824,3.062,3.5
AT1G02952,0.082,0,0.037,0.035,0.04,0,0.036
AT1G02960,9.922,11.49,11.793,13.353,14.546,14.16,14.552
AT1G02965,0,0,0.044,0,0,0,0
AT1G02970,1.943,0.936,0.976,0.736,0.384,0.326,0.214
AT1G02980,0,0.026,0.018,0.026,0.036,0.028,0.066
AT1G02990,5.667,7.091,5.998,6.891,6.061,6.132,6.49
AT1G03000,14.109,11.171,12.198,10.963,10.863,10.232,10.387
AT1G03010,0.392,0.524,0.272,0.36,0.324,0.204,0.156
AT1G03020,0.105,0.028,0.064,0.03,0.066,0,0.072
AT1G03030,11.602,10.876,12.959,12.285,14.374,13.314,12.692
AT1G03040,23.481,19.3,21.475,21.063,23.039,26.665,29.059
AT1G03050,0,0,0,0,0,0,0
AT1G03055,0.902,0.328,0.191,0.246,0.02,0.041,0.043
AT1G03060,9.784,11.076,8.934,10.221,11.377,10.84,11.218
AT1G03070,1.856,10.395,7.659,7.79,5.155,6.768,5.215
AT1G03080,27.543,32.942,22.882,32.986,41.704,42.434,42.355
AT1G03090,52.678,137.486,173.307,211.672,319.425,278.656,296.284
AT1G04157,0.748,0.557,1.435,1.358,2.321,1.094,1.446
AT1G03100,0.298,0.291,0.216,0.411,0.608,0.496,0.408
AT1G04163,0,0,0,0,0,0,0
AT1G03103,0,0,0,0,0.036,0,0.042
AT1G03106,10.436,8.629,13.529,18.706,43.822,44.861,71.214
AT1G03110,6.8,4.329,4.068,3.412,2.694,2.39,2.009
AT1G03120,9.739,12.293,7.524,8.867,8.675,10.111,9.689
AT1G03130,346.892,289.513,320.061,302.962,155.374,121.638,117.619
AT1G03140,28.576,31.834,37.011,39.694,49.227,46.641,47.885
AT1G03150,22.935,20.775,19.132,18.136,16.557,12.575,13.614
AT1G04167,0,0,0,0,0,0,0
AT1G03160,24.055,19.04,19.443,18.657,22.29,19.2,18.495
AT1G03165,0.209,0.678,0.284,1.065,0.784,1.68,1.03
AT1G04173,0.246,0.299,0.106,0.754,0.67,0.121,0.576
AT1G03170,1.318,0.246,0.196,0.424,0.362,0.375,0.36
AT1G03180,2.619,2.312,2.075,1.802,1.46,1.478,1.648
AT1G03190,5.128,5.192,5.229,5.101,5.214,5.851,5.607
AT1G04177,0,0,0,0,0,0,0
AT1G03200,3.665,4.34,5.826,10.438,17.907,20.16,25.326
AT1G03210,14.218,8.364,8.512,8.436,9.395,11.075,11.312
AT1G03220,68.417,114.984,128.982,136.56,170.949,178.394,231.123
AT1G03230,21.627,19.052,25.003,26.486,29.494,23.921,18.134
AT1G03240,0.083,0.111,0.04,0.114,0.084,0.136,0.127
AT1G03250,14.637,14.627,13.215,13.374,11.799,11.577,11.021
AT1G03260,9.909,9.349,9.965,9.243,8.982,9.463,8.552
AT1G03270,2.286,2.298,1.891,1.942,2.095,2.099,1.602
AT1G03280,19.084,18.69,18.95,19.833,19.127,19.828,19.058
AT1G03290,5.302,8.352,8.751,9.936,12.825,11.468,12.302
AT1G03300,0,0,0,0,0,0,0
AT1G03310,12.915,11.626,11.267,7.323,3.725,3.211,2.956
AT1G03320,2.146,1.535,0.798,0.453,0.702,0.474,0.357
AT1G03325,0,0,0,0,0,0,0
AT1G03330,27.284,25.865,25.999,24.998,19.985,19.727,18.404
AT1G03340,1.127,1.187,1.1,1.68,0.96,1.572,1.092
AT1G03350,31.491,30.157,28.53,30.105,28.428,29.862,28.34
AT1G03360,4.08,2.194,1.69,1.679,1.79,1.817,2.114
AT1G03365,6.181,6.446,6.51,6.835,7.338,7.36,6.989
AT1G03370,10.311,10.084,9.473,9.747,10.934,11.277,12.497
AT1G03380,15.855,23.172,25.372,27.975,37.626,38.891,43.772
AT1G03390,0,0.028,0.016,0.016,0.05,0.116,0.15
AT1G03395,0,0,0,0,0,0,0
AT1G03400,2.057,1.914,3.165,3.49,4.665,4.962,5.813
AT1G03410,1.472,0.911,0.746,0.98,1.197,1.456,1.866
AT1G04183,0,0,0.01,0.022,0.011,0.011,0.01
AT1G03420,0,0,0,0,0,0,0
AT1G03430,16.242,16.54,16.088,17.535,16.389,16.59,16.848
AT1G03440,6.115,5.354,6.738,6.973,8.708,8.155,8.488
AT1G03445,0.736,0.28,0.222,0.284,0.382,0.264,0.226
AT1G03457,15.145,12.604,10.645,9.736,9.482,9.139,9.921
AT1G03470,16.008,9.448,10.073,10.276,15.128,17.276,19.532
AT1G03475,137.004,95.22,89.331,67.19,50.309,41.702,40.581
AT1G03490,0.231,0.114,0.051,0.026,0.052,0,0
AT1G03495,1.394,0.865,1.051,1.103,1.127,1.929,2.5
AT1G04187,0.374,0.886,0.964,1.117,0.839,0.696,0.517
AT1G04193,1.03,1.236,1.472,1.228,0.196,0,0.724
AT1G03502,0,0,0.189,0.178,0.403,0.217,0.186
AT1G03506,1.672,2.142,1.732,4.838,1.792,2.862,1.416
AT1G04197,1.991,1.175,1.633,1.759,1.709,1.567,2.323
AT1G03510,1.005,0.964,0.527,0.409,0.423,0.3,0.575
AT1G03515,0,0,0,0,0,0,0
AT1G03520,16.438,21.728,16.843,17.966,18.309,17.633,17.441
AT1G03530,2.362,1.652,1.902,2.267,3.402,3.974,4.479
AT1G03540,0.694,0.781,0.602,0.68,0.789,0.615,0.698
AT1G03550,1.076,1.715,1.814,2.333,3.806,4.127,5.146
AT1G03545,0.073,0.065,0.2,0.246,0.82,1.027,1.044
AT1G03560,4.336,3.345,3.287,3.124,3.523,3.119,3.477
AT1G03570,0,0,0,0,0,0,0
AT1G03580,0.5,1.032,2.131,2.567,7.275,8.543,14.84
AT1G03590,42.112,31.663,31.112,30.936,29.776,24.943,23.631
AT1G03600,140.466,119.726,136.591,129.237,86.809,61.924,50.245
AT1G03610,21.39,34.357,44.997,51.465,63.397,68.324,75.37
AT1G03620,0.562,0.592,0.928,0.962,1.637,1.818,2
AT1G03630,97.915,56.86,56.495,35.782,13.324,9.607,6.241
AT1G03640,0,0,0,0,0,0,0
AT1G03650,1.3,1.002,0.7,0.81,0.729,1.099,0.7
AT1G03660,0.874,0.863,0.663,0.5,0.15,0.078,0.102
AT1G04203,0,0,0,0,0,0,0
AT1G03670,0,0.012,0.024,0,0,0.012,0.27
AT1G03680,125.903,108.87,112.401,87.678,62.716,50.563,46.789
AT1G03687,6.963,6.229,6.628,5.62,5.79,4.422,3.78
AT1G03700,0.438,7.192,2.88,2.343,1.321,1.616,1.323
AT1G03710,0.157,0.022,0,0.041,0.021,0.129,0.066
AT1G03720,0,0,0,0,0,0,0
AT1G04207,0,0,0,0,0,0,0
AT1G03730,5.62,5.814,5.234,5.402,6.178,6.272,6.032
AT1G03740,6.745,7.06,7.058,7.234,9.95,9.393,11.191
AT1G04213,0,0,0,0,0,0,0
AT1G03743,0,0.238,0.532,0,0,0.27,0
AT1G03746,0.294,0.226,0.253,0.238,0,0,0
AT1G03750,2.618,3.3,3.519,3.478,4.111,3.933,3.88
AT1G03760,2.7,2.172,3.224,2.982,5.816,6.891,9.117
AT1G03770,3.043,3.267,3.24,3.843,4.959,5.09,5.173
AT1G03780,4.647,2.74,1.896,2.362,1.938,1.387,1.243
AT1G03790,40.725,121.691,87.538,109.769,112.308,138.46,157.532
AT1G03800,1.526,2.42,2.825,2.901,2.764,1.895,1.54
AT1G03810,0,0,0,0,0,0,0
AT1G03820,2.651,2.032,2.674,2.282,2.783,3.331,3.43
AT1G03830,2.064,1.475,1.426,1.52,2.095,1.972,1.375
AT1G03840,0.35,0.31,0.291,0.23,0.254,0.165,0.109
AT1G03850,11.267,12.479,15.044,15.493,16.154,13.916,12.595
AT1G03860,23.577,14.421,14.234,13.736,16.573,19.325,22.694
AT1G03870,648.744,527.432,529.082,565.368,453.144,379.466,330.079
AT1G03880,6.315,3.128,3.744,10.528,6.49,6.01,3.992
AT1G03890,0.446,0.378,0.439,0.831,0.635,0.505,0.718
AT1G03900,84.208,97.3,103.641,105.082,118.337,137.144,142.356
AT1G03905,4.827,4.515,3.914,3.479,3.514,2.967,2.572
AT1G03910,22.897,21.99,22.932,25.236,34.043,32.675,33.377
AT1G03920,4.982,4.465,3.007,2.567,3.546,2.149,1.399
AT1G03930,28.16,21.444,20.993,21.438,18.155,15.665,15.279
AT1G04217,5.178,5.374,5.681,4.09,5.447,3.934,3.957
AT1G03935,12.62,10.558,12.619,11.164,15.599,18.638,17.746
AT1G04223,1.865,2.359,3.311,1.608,0.95,1.145,1.86
AT1G03940,1.357,0.898,1.066,1.321,1.198,1.784,1.964
AT1G04227,0,0,0,0,0,0,0
AT1G03950,8.732,9.453,9.743,9.47,9.021,9.496,8.695
AT1G03960,3.122,3.454,3.741,4.186,6.755,6.43,7.324
AT1G03970,4.893,5.606,6.751,7.432,10.933,13.155,14.876
AT1G04233,0,0,0,0,0,0,0
AT1G03980,0.206,0.134,0.14,0.124,0.092,0.176,0.088
AT1G03982,0,0,0,0,0,0,0
AT1G03990,2.697,3.454,3.44,4.578,4.629,5.141,4.591
AT1G04000,10.836,11.529,11.281,12.168,11.678,10.644,11.381
AT1G04010,5.373,5.114,4.921,4.922,5.345,5.149,5.332
AT1G04020,6.899,3.592,2.873,2.289,1.102,0.648,0.572
AT1G04030,3.973,3.143,2.694,3.305,4.207,3.442,3.058
AT1G04040,151.935,89.124,75.621,69.066,44.076,36.736,25.971
AT1G04237,2.174,1.25,0.362,0.734,0.511,0.414,0.213
AT1G04050,1.125,1.158,0.952,1.061,0.922,1.03,0.708
AT1G04070,5.508,4.856,4.617,4.664,4.726,4.79,4.936
AT1G04080,28.283,24.41,26.547,29.992,36.799,38.079,41.753
AT1G04090,0.706,0.768,0.796,0.56,0.518,0.375,0.19
AT1G04100,1.756,2.34,2.32,1.885,1.218,1.442,1.312
AT1G04105,0,0,0,0,0,0,0
AT1G04110,2.58,1.565,1.918,0.81,0.23,0.204,0.049
AT1G04120,29.358,35.048,33.551,37.572,30.425,33.896,32.392
AT1G04243,0,0,0,0.206,0,0,0
AT1G04130,6.046,5.268,5.733,5.043,5.121,4.714,5.04
AT1G04140,46.702,56.594,58.748,59.598,70.25,71.768,81.043
AT1G04150,0.063,0.079,0.044,0.054,0.047,0.028,0.032
AT1G04160,4.096,3.546,2.767,2.525,1.882,1.877,1.506
AT1G04170,46.284,34.871,39.07,37.301,40.692,41.888,41.773
AT1G04180,0.306,0.296,0.352,0.32,0.311,0.322,0.162
AT1G04190,16.844,13.702,14.604,14.868,13.659,14.629,12.982
AT1G04200,13.683,12.29,10.631,9.759,8.952,9.131,9.477
AT1G04210,21.09,15.812,14.89,13.944,13.509,14.007,16.019
AT1G04220,13.057,37.087,18.02,17.15,11.348,16.701,13.652
AT1G04247,2.046,5.183,2.263,3.034,1.696,2.319,1.615
AT1G04230,4.21,4.567,4.556,4.63,5.135,5.553,5.915
AT1G04240,62.919,56.463,50.218,51.886,40.616,36.769,29.452
AT1G04253,0,0,0,0,0,0.036,0
AT1G04250,211.707,170.125,132.957,150.477,101.376,90.999,64.715
AT1G04260,8.653,9.034,10.303,10.288,11.644,11.662,13.601
AT1G04270,241.697,145.139,148.075,141.248,117.403,112.139,98.875
AT1G04280,35.17,46.972,46.614,43.287,40.815,33.905,31.088
AT1G04290,2.67,2.532,2.602,1.924,1.347,1.199,1.128
AT1G04295,0,0,0,0,0,0,0
AT1G04300,23.34,31.3,35.251,47.508,86.984,92.998,96.037
AT1G04310,8.12,18.291,21.602,23.566,25.75,27.456,28.852
AT1G04320,0,0,0,0,0,0,0
AT1G04330,0.376,0.264,0.279,0.125,0.226,0.276,0.224
AT1G04340,17.677,15.14,14.495,12.919,9.71,10.922,10.276
AT1G04350,7.24,6.689,8.117,5.86,3.087,3.032,3.638
AT1G04360,1.796,2.309,2.095,2.392,1.634,1.589,2.2
AT1G04370,0,0,0,0,0,0,0
AT1G04380,0.076,0.129,0.184,0.078,0.084,0.123,0.132
AT1G04257,0,0,0,0,0,0,0
