GeneID,60mins,240mins,480mins,720mins,1440mins,2160mins,3600mins
AT5G51020,23.434,20.313,19.231,19.04,16.587,16.066,14.274
AT5G51030,0.399,0.169,0.126,0.039,0,0,0.018
AT5G51040,30.489,16.639,15.886,14.404,14.399,14.533,14.791
AT5G51050,5.82,4.492,4.197,3.288,2.502,1.984,1.189
AT5G51055,0,0,0,0,0,0.276,0
AT5G51060,2.458,2.027,2.322,2.548,2.926,2.489,1.376
AT5G51070,33.159,48.135,55.629,60.492,93.49,109.556,150.325
AT5G51080,2.268,3.179,2.533,2.099,2.122,2.309,2.235
AT5G07715,0,0,0,0,0,0,0
AT5G51090,0,0,0.118,0,0,0.062,0.057
AT5G51100,44.311,32.587,28.479,25.352,15.789,9.363,5.445
AT5G51110,68.822,58.77,53.478,51.721,37.25,30.085,23.974
AT5G51105,0,0,0,0,0,0,0
AT5G51120,27.734,25.371,23.02,22.688,20.125,17.544,16.661
AT5G51130,2.876,2.853,2.982,2.553,3.468,2.851,3.537
AT5G51140,24.512,25.766,23.358,20.981,19.498,18.148,20.684
AT5G51150,31.243,40.075,50.616,52.417,74.926,73.676,73.44
AT5G51160,0.843,1,0.95,1.264,1.556,2.397,2.812
AT5G51170,3.638,4.824,4.713,5.345,5.235,6.258,7.454
AT5G07725,2.923,4.194,3.792,5.452,2.391,1.314,3.154
AT5G51174,2.437,2.04,1.424,2.203,0.83,0.812,1.521
AT5G07735,1.375,0.199,0,1.026,0.218,0.696,0.226
AT5G51180,11.7,15.899,16.35,15.103,16.48,14.329,14.137
AT5G51190,0,0,0,0,0,0,0
AT5G51195,0,0.028,0,0,0,0.03,0
AT5G51200,15.939,15.692,15.949,14.639,13.884,13.988,16.102
AT5G51210,20.444,27.572,28.556,33.8,28.951,22.188,6.79
AT5G51220,4.902,4.272,3.341,3.506,2.691,2.597,3.415
AT5G51230,15.256,14.159,14.377,13.635,11.831,10.998,11.8
AT5G51250,0,0,0,0,0,0.022,0
AT5G51260,4.579,3.446,4.095,3.52,2.95,3.043,2.898
AT5G51270,0.232,0.254,0.262,0.191,0.143,0.132,0.073
AT5G51280,8.934,9.024,8.332,8.184,7.482,7.403,10.265
AT5G51290,10.687,13.116,13.773,13.469,14.273,14.132,14.977
AT5G51300,22.095,24.881,26.78,27.258,37.234,40.167,41.213
AT5G51310,0.478,0.538,0.29,0.257,0.177,0.135,0.037
AT5G51320,0,0,0,0,0,0,0
AT5G51330,0.052,0.019,0.032,0.022,0.034,0,0.01
AT5G51340,14.716,16.444,16.904,15.53,15.583,15.861,18.065
AT5G51350,7.907,6.502,6.264,5.638,4.303,4.993,5.567
AT5G51360,0,0,0,0,0,0,0.071
AT5G51370,3.17,2.915,2.737,3.11,3.619,3.611,4.209
AT5G51380,3.719,3.88,3.976,3.79,2.574,2.79,3.98
AT5G51390,7.779,10.371,9.27,11.927,12.44,15.447,17.354
AT5G51400,65.441,79.998,80.144,81.721,80.374,70.606,73.617
AT5G51410,14.853,15.326,17.766,17.453,25.581,31.63,30.416
AT5G51420,0.016,0.015,0.017,0.017,0.088,0.017,0.019
AT5G51430,23.276,25.774,25.069,24.251,22.426,21.562,21.149
AT5G51440,13.025,4.793,3.665,3.122,4.662,3.188,4.515
AT5G51450,8.553,8.43,9.084,8.145,9.982,10.377,12.087
AT5G51451,2.426,2.009,2.369,2.373,2.875,3.617,3.547
AT5G51460,10.088,4.631,3.521,3.556,2.249,2.05,2.351
AT5G51465,0,0,0.039,0,0.071,0,0.042
AT5G51470,0.056,0.068,0.045,0.056,0.044,0.01,0.044
AT5G51480,0.039,0.062,0.087,0.065,0.193,0.367,1.821
AT5G51490,0.378,0.45,0.298,0.266,0.198,0.092,0.011
AT5G51500,0.349,0.414,0.21,0.171,0.198,0.269,0.156
AT5G51510,16.51,16.628,18.346,17.253,14.843,13.967,17.138
AT5G51520,1.292,0.764,0.648,0.548,0.78,0.511,0.438
AT5G51530,0.082,0.078,0.054,0.022,0.035,0.024,0.012
AT5G51540,2.136,1.582,1.199,1.256,1.448,1.091,1.123
AT5G51545,34.517,31.416,29.14,26.09,17.027,13.306,16.27
AT5G51550,25.021,31.16,27.37,27.919,25.768,26.702,34.564
AT5G51560,14.723,14.07,12.577,10.48,7.104,5.785,4.045
