"GeneID","X60mins","X180mins","X360mins","X720mins","X1440mins","X2880mins"
"372","AT1G03930",22.081,25.875,25.471,20.724,20.288,21.626
"373","AT1G04217",1.901,3.866,9.09,8.592,3.112,1.516
"374","AT1G03935",1.197,5.553,9.002,9.508,2.211,3.325
"375","AT1G04223",1.48,1.588,3.311,4.535,1.917,1.824
"376","AT1G03940",4.897,1.228,0.771,1.039,2.18,5.572
"377","AT1G04227",0,0,0,0,0,0
"378","AT1G03950",14.91,20.13,22.28,21.535,17.443,15.709
"379","AT1G03960",2.175,3.096,5.828,4.666,1.929,1.628
"380","AT1G03970",7.136,8.739,12.45,12.288,7.907,8.202
"381","AT1G04233",0,0,0,0,0,0
"382","AT1G03980",0.06,0.043,0.049,0.123,0,0.042
"383","AT1G03982",0,0,0,0,0,0
"384","AT1G03990",1.536,1.919,1.719,1.52,1.368,1.651
"385","AT1G04000",6.832,7.15,6.389,6.454,9.765,9.105
"386","AT1G04010",2.867,3.955,2.97,6.229,2.756,3.447
"387","AT1G04020",2.704,0.728,1.27,6.694,4.399,3.36
"388","AT1G04030",1.022,1.05,2.07,3.099,1.482,1.748
"389","AT1G04040",47.942,41.192,45.488,76.778,63.501,80.11
"390","AT1G04237",0.472,0.368,0.557,0.694,0,0.12
"391","AT1G04050",0.468,0.686,0.738,1.977,1.07,1.156
"392","AT1G04070",5.14,4.584,4.293,4.518,4.912,3.883
"393","AT1G04080",47.596,27.367,26.134,33.48,24.067,23.868
"394","AT1G04090",0.262,0.383,0.284,0.324,0.288,0.174
"395","AT1G04100",2.29,2.703,2.434,1.723,2.175,2.019
"396","AT1G04105",0,0,0,0,0,0
"397","AT1G04110",0.679,0.527,0.827,0.534,0.508,0.374
"398","AT1G04120",37.715,20.756,18.047,24.945,25.371,27.748
"399","AT1G04243",0,0,0,0,0,0
"400","AT1G04130",14.508,5.114,4.429,8.248,11.334,10.633
"401","AT1G04140",26.189,22.823,25.84,34.538,19.98,25.724
"402","AT1G04150",0.01,0.011,0,0.009,0.01,0
