"GeneID","X60mins","X180mins","X360mins","X720mins","X1440mins"
"97","AT1G01760",1.528,1.732,2.182,1.438,1.253
"98","AT1G04057",0,0,0,0,0
"99","AT1G01770",5.799,20.352,45.403,79.588,148.841
"100","AT1G01780",2.883,10.813,19.248,48.008,120.394
"101","AT1G01790",59.428,30.677,19.615,9.785,4.925
"102","AT1G04063",0,0.099,0,0,0.524
"103","AT1G01800",36.312,35.523,48.483,69.529,86.498
"104","AT1G01810",0.502,0.422,0.75,1.32,1.417
"105","AT1G01820",20.373,29.886,60.324,113.141,151.02
"106","AT1G01830",12.146,16.416,13.116,8.96,8.078
"107","AT1G04067",0,0,0.074,0,0
"108","AT1G01840",0,0.055,0.149,0.042,0
"109","AT1G01860",4.122,4.043,6.614,8.765,6.77
"110","AT1G04073",0.176,0,0.344,1.75,3.375
"111","AT1G01870",0,0,0,0,0
"112","AT1G01880",0.236,0.405,0.504,1.011,1.274
"113","AT1G01890",0,0,0,0,0
"114","AT1G01900",0.22,0.314,0.275,0.428,0.202
"115","AT1G04077",0,0,0,0,0
"116","AT1G01910",14.331,16.494,19.906,17.625,19.145
"117","AT1G04083",2.24,0.825,4.416,2.237,3.506
"118","AT1G01920",4.774,5.166,5.389,4.476,2.596
"119","AT1G01930",6.364,10.683,12.616,14.348,11.222
"120","AT1G01940",70.517,71.822,94.796,101.782,131.412
"121","AT1G01950",7.353,4.715,2.969,2.437,2.731
"122","AT1G01960",4.982,5.961,8.171,9.412,5.262
"123","AT1G01970",16.231,12.552,11.768,7.812,1.907
"124","AT1G01980",0,0.048,0,0.018,0.068
"125","AT1G01990",8.266,13.077,20.441,52.737,53.712
"126","AT1G02000",3.634,4.393,4.144,3.165,6.1
"127","AT1G02010",3.042,2.327,1.661,2.236,1.275
"128","AT1G02020",6.706,5.629,6.798,8.814,12.868
"129","AT1G02030",0.076,0.086,0.15,0.128,0.286
"130","AT1G02040",0.035,0,0,0.028,0.075
"131","AT1G02050",1.517,1.82,1.994,4.833,5.325
"132","AT1G02060",1.068,1.439,1.891,3.657,3.206
"133","AT1G02065",0,0.043,0,0,0
"134","AT1G02067",0,0,0,0,0
"135","AT1G02070",0,0,0.054,0,0
"136","AT1G02080",6.964,6.664,11.465,16.567,16.646
"137","AT1G02090",82.692,39.159,29.597,30.004,48.682
"138","AT1G02100",17.633,29.48,44.076,80.494,136.59
"139","AT1G02110",12.529,16.977,14.256,15.346,14.84
"140","AT1G02120",24.079,22.107,22.816,30.88,27.646
"141","AT1G02130",16.068,14.114,20.585,28.514,38.855
"142","AT1G04087",0,0,0,0,0.166
"143","AT1G02136",0,0,0.22,0.182,0
"144","AT1G02140",101.879,118.904,197.866,394.073,695.31
"145","AT1G02145",6.397,5.615,8.698,10.03,5.024
"146","AT1G02150",46.697,54.979,64.76,90.844,49.465
"147","AT1G02160",8.796,6.939,11.098,14.433,12.252
"148","AT1G02170",17.212,16.232,19.066,19.212,25.272
"149","AT1G02180",2.625,2.622,3.223,2.18,0.931
"150","AT1G02190",0.037,0,0.077,0.048,0.179
"151","AT1G02205",5.958,8.466,4.837,4.431,14.668
"152","AT1G04093",0,0,0,0,0
"153","AT1G02210",0,0,0,0,0
"154","AT1G02220",1.574,3.583,2.085,4.997,13.606
"155","AT1G02228",0,0,0,0,0
"156","AT1G02230",0.057,2.092,2.596,4.222,5.305
"157","AT1G02250",0,0,0,0.088,0.074
"158","AT1G02260",1.24,1.188,1.792,2.943,3.036
"159","AT1G02270",5.295,8.889,14.015,15.445,11.874
"160","AT1G02280",64.673,72.418,96.832,120.115,87.779
"161","AT1G02290",4.807,7.386,9.647,12.822,7.386
"162","AT1G02300",1.093,23.128,59.179,91.862,27.348
"163","AT1G02305",21.308,52.181,120.916,242.29,275.299
"164","AT1G04097",0.128,0.574,0.239,0.853,0.71
"165","AT1G02310",0,0,0.083,0.136,0.074
"166","AT1G04103",0,0,0,0,0
"167","AT1G02320",0,0,0,0,0
"168","AT1G02330",7.354,10.453,11.749,14.465,15.097
"169","AT1G02335",1.948,1.378,1.141,2.671,0.397
"170","AT1G02340",1.023,2.811,10.61,24.135,68.812
"171","AT1G02350",1.841,1.506,4.59,7.284,5.506
"172","AT1G02360",0.253,0.426,0.372,0.414,0.061
"173","AT1G02370",1.713,1.554,1.708,2.357,1.266
"174","AT1G02380",2.305,5.037,3.272,2.752,10.088
"175","AT1G02390",6.191,3.033,3.289,3.841,6.261
"176","AT1G02400",4.853,4.912,4.747,7.216,21.461
"177","AT1G02405",0.108,0.24,0.264,0.64,0.267
"178","AT1G02410",8.954,11.491,11.576,8.294,9.563
"179","AT1G02420",0.108,0.179,0.44,0.534,0.435
"180","AT1G04117",0.053,0,0.028,0.066,0.045
"181","AT1G02430",0.084,0.094,0.039,0.211,0.511
"182","AT1G04123",0,0,0,0.114,0.114
"183","AT1G02440",0.172,0.144,0.088,0.324,0.384
"184","AT1G02450",0.396,0.074,0.59,1.193,0.576
"185","AT1G02460",1.914,3.96,2.606,3.362,1.844
"186","AT1G02470",0.649,0.998,3.854,9.062,14.557
"187","AT1G02475",51.09,32.219,46.379,59.23,33.951
"188","AT1G02480",0,0,0,0.459,0
"189","AT1G02490",0,0,0,0,0
"190","AT1G02500",100.227,103.433,103.395,111.849,191.894
"191","AT1G02510",0.113,0.085,0.116,0.096,0.064
"192","AT1G02520",0.018,0.06,0.034,0.166,0.352
"193","AT1G02530",0.01,0,0.01,0,0
"194","AT1G02540",0,0,0,0,0
"195","AT1G02550",0,0,0,0,0
"196","AT1G02560",142.439,115.425,183.906,214.236,117.629
"197","AT1G02570",0,0,0.084,0.138,0.044
"198","AT1G02575",0,0,0,0,0.066
"199","AT1G02580",0,0,0,0.043,0.478
"200","AT1G04127",0,0,0,0.289,0.47
"201","AT1G02590",0,0,0.846,0,0.257
"202","AT1G02600",0,0,0,0,0
"203","AT1G02610",0.306,11.712,20.756,23.905,36.239
"204","AT1G02620",0.03,10.142,48.584,38.48,21.7
"205","AT1G04133",0,0.752,2.538,2.265,1.283
"206","AT1G04137",0,0,0.81,0.99,0.542
"207","AT1G02630",0,0.433,1.042,1.544,0.946
"208","AT1G02640",1.109,30.022,43.498,37.095,42.034
"209","AT1G02650",0.043,0.885,1.125,0.913,1.783
"210","AT1G02660",0.938,23.337,36.639,46.252,110.571
"211","AT1G02670",0.122,2.01,10.474,51.627,109.982
"212","AT1G02680",6.284,14.053,19.828,27.184,41.834
"213","AT1G02681",0.198,0.294,0.319,1.936,3.878
"214","AT1G04143",0,0,0,0,0
"215","AT1G02690",1.679,0.976,0.97,1.229,1.194
"216","AT1G02700",7.809,5.149,6.981,3.313,3.007
"217","AT1G02705",0.288,0,0.546,0.158,0
"218","AT1G02710",0,0,0,0,0
"219","AT1G02720",2.031,0.551,0.794,0.619,0.104
"220","AT1G02730",2.079,1.176,0.908,0.69,0.092
"221","AT1G02740",2.827,2.399,4.292,6.333,5.559
"222","AT1G02750",7.732,9.631,12.044,19,14.323
"223","AT1G02760",0,0,0,0,0
"224","AT1G02770",0.1,0.26,0.319,0.556,1.482
"225","AT1G02780",425.977,690.614,391.739,292.233,301.918
"226","AT1G02790",0,0,0,0.06,0
"227","AT1G02800",0.045,0,0,0,0
"228","AT1G02810",0,0,0,0,0
"229","AT1G02813",0,0,0,0,0.068
"230","AT1G02816",6.785,10.463,8.912,10.149,19.014
"231","AT1G02820",91.15,62.245,19.308,5.719,0.624
"232","AT1G02830",0.184,0,0,0,0
"233","AT1G02840",37.067,71.331,110.213,184.79,316.888
"234","AT1G02850",0.989,1.705,5.648,20.374,55.085
"235","AT1G02860",5.145,16.29,29.899,41.328,94.802
"236","AT1G04147",0.295,0.49,2.418,2.204,3.578
"237","AT1G02870",8.76,5.516,12.361,15.403,10.716
"238","AT1G04153",0.268,0.197,0.266,0.519,0.699
"239","AT1G02880",4.069,2.792,3.907,5.589,8.381
"240","AT1G02890",22.456,36.214,42.648,61.48,69.106
"241","AT1G02900",0.528,0.958,1.346,1.236,0.656
"242","AT1G02910",42.704,42.723,46.53,52.918,45.684
"243","AT1G02920",2.063,1.583,6.818,3.37,1.276
"244","AT1G02930",3.563,2.349,5.264,8.707,1.652
"245","AT1G02940",0,0,0,0.036,0
"246","AT1G02950",3.3,3.107,2.974,2.6,1.114
"247","AT1G02952",0,0.078,0.073,0,0
"248","AT1G02960",4.625,7.306,10.255,11.677,5.858
"249","AT1G02965",0,0,0.172,0,0
"250","AT1G02970",0.929,0.412,0.684,2.034,0.442
"251","AT1G02980",0.396,0.242,0.558,1.019,0.684
"252","AT1G02990",1.768,3.151,3.213,5.681,6.464
"253","AT1G03000",3.757,5.84,7.502,9.91,5.472
"254","AT1G03010",0.03,0.084,0.042,0.101,0.026
"255","AT1G03020",1.645,0.202,0.25,0.351,0
"256","AT1G03030",7.909,8.192,10.96,11.428,8.075
"257","AT1G03040",16.121,16.21,21.756,35.672,41.433
"258","AT1G03050",0.037,0.042,0.019,0,0.02
"259","AT1G03055",9.178,3.467,3.364,0.882,0.148
"260","AT1G03060",4.604,4.549,3.835,2.982,5.29
"261","AT1G03070",534.846,153.899,99.705,36.124,54.105
"262","AT1G03080",7.624,16.895,22.617,28.5,52.648
"263","AT1G03090",5.688,118.525,238.676,232.52,313.589
"264","AT1G04157",0.182,2.017,2.461,2.592,1.471
"265","AT1G03100",0.19,0.106,0.16,0.264,0.508
"266","AT1G04163",0,0,0,0,0
"267","AT1G03103",0,0,0,0,0.138
"268","AT1G03106",0.044,0,0,0.144,0.624
"269","AT1G03110",3.69,1.639,1.762,0.604,0.36
"270","AT1G03120",1.444,1.405,1.391,1.558,0.679
"271","AT1G03130",716.777,1151.074,1029.773,510.708,128.065
"272","AT1G03140",20.392,69.782,100.347,125.897,141.969
"273","AT1G03150",8.21,15.412,20.786,19.258,15.611
"274","AT1G04167",0,0,0,0.155,0
"275","AT1G03160",12.484,8.816,9.075,11.504,4.292
"276","AT1G03165",0.719,0.398,1.539,4.245,0.73
"277","AT1G04173",0.804,0,0.393,0.992,0.941
"278","AT1G03170",0.23,0.06,0.136,0.308,0.17
"279","AT1G03180",0.754,1.793,2.937,4.045,7.97
"280","AT1G03190",2.056,2.998,2.907,4.057,6.388
"281","AT1G04177",0.135,0,0,0,0.145
"282","AT1G03200",0.659,0.728,3.067,5.99,6.89
"283","AT1G03210",4.195,4.276,5.199,8.6,9.64
"284","AT1G03220",5.816,141.065,144.502,386.768,985.676
"285","AT1G03230",0.702,8.112,11.44,16.462,11.88
"286","AT1G03240",0,0,0.07,0.248,0.08
"287","AT1G03250",10.265,9.226,8.43,7.654,10.3
"288","AT1G03260",3.381,2.633,1.926,2.904,3.167
"289","AT1G03270",0.79,0.594,0.624,0.306,0.025
"290","AT1G03280",6.211,10.487,13.515,15.253,10.099
"291","AT1G03290",2.859,7.816,14.465,15.983,19.637
"292","AT1G03300",0,0,0,0,0
"293","AT1G03310",8.264,5.412,2.83,3.099,0.248
"294","AT1G03320",0.467,0.066,0.06,0.05,0
"295","AT1G03325",0,0,0,0,0.348
"296","AT1G03330",21.483,25.155,48.882,89.656,106.577
"297","AT1G03340",0.381,1.573,2.228,3.752,1.547
"298","AT1G03350",10.96,20.843,13.803,17.538,19.067
"299","AT1G03360",6.991,7.397,9.627,14.075,12.937
"300","AT1G03365",4.638,5.504,4.474,5.334,3.484
"301","AT1G03370",5.076,3.421,3.939,5.433,10.107
"302","AT1G03380",4.783,9.166,14.407,18.767,17.778
"303","AT1G03390",0.148,0.034,0.028,0.074,0.12
"304","AT1G03395",0,0,0,0,0
"305","AT1G03400",18.174,18.8,27.855,27.891,24.267
"306","AT1G03410",0.433,0.344,0.525,1.113,0.73
"307","AT1G04183",0,0,0,0.067,0.034
"308","AT1G03420",0.038,0,0.036,0.064,0
"309","AT1G03430",3.319,4.404,9.899,17.54,14.786
"310","AT1G03440",2.329,3.293,4.011,3.213,1.203
"311","AT1G03445",0.014,0.032,0,0.146,0.075
"312","AT1G03457",1.081,1.067,1.193,1.442,2.577
"313","AT1G03470",0.808,10.314,24.603,50.355,42.081
"314","AT1G03475",128.12,82.049,86.221,81.227,31.246
"315","AT1G03490",0,0,0,0,0
"316","AT1G03495",1.407,1.862,1.601,2.685,2.987
"317","AT1G04187",2.447,0.677,1.198,4.803,2.4
"318","AT1G04193",1.052,0.388,1.628,2.888,3.796
"319","AT1G03502",0,0,0,0.599,0.69
"320","AT1G03506",0.472,0,3.988,4.315,6.806
"321","AT1G04197",0.849,2.196,2.13,4.679,4.211
"322","AT1G03510",0.335,0.374,0.33,0.606,0.261
"323","AT1G03515",0,0,0,0,0
"324","AT1G03520",1.554,4.047,5.781,7.59,3.542
"325","AT1G03530",4.462,4.004,5.228,7.588,5.765
"326","AT1G03540",0.489,0.524,0.679,1.536,1.398
"327","AT1G03550",0.46,0.738,1.414,2.752,2.323
"328","AT1G03545",0.085,0.048,0.138,0.439,0.099
"329","AT1G03560",0.946,1.272,1.464,1.45,0.906
"330","AT1G03570",0,0,0,0,0
"331","AT1G03580",0.112,0.959,2.965,3.777,1.94
"332","AT1G03590",8.334,13.038,12.71,11.395,20.227
"333","AT1G03600",226.505,212.471,275.608,207.033,177.779
"334","AT1G03610",20.633,40.684,56.639,65.921,88.019
"335","AT1G03620",0.066,1.061,1.94,2.502,4.809
"336","AT1G03630",109.011,155.017,133.858,90.388,24.599
"337","AT1G03640",0,0,0,0,0
"338","AT1G03650",2.574,1.955,2.054,3.71,5.663
"339","AT1G03660",0.102,0.077,0.066,0.226,0.464
"340","AT1G04203",0,0,0,0,0
"341","AT1G03670",0,0,0.044,0.038,0
"342","AT1G03680",233.303,147.85,200.372,183.168,85.719
"343","AT1G03687",6.1,3.044,2.764,2.507,1.129
"344","AT1G03700",0,0,0,0,0
"345","AT1G03710",0.197,0.088,0.074,0.328,0.552
"346","AT1G03720",0,0,0,0,0
"347","AT1G04207",0,0,0,0,0
"348","AT1G03730",0.58,1.581,3.18,5.262,4.676
"349","AT1G03740",1.494,2.426,3.569,8.413,6.463
"350","AT1G04213",0,0,0,0,0
"351","AT1G03743",0,0.572,1.041,1.258,1.286
"352","AT1G03746",0,0.534,0.896,1.214,0
"353","AT1G03750",0.945,1.282,2.697,5.027,7.117
"354","AT1G03760",2.609,4.304,5.709,16.302,15.135
"355","AT1G03770",0.532,0.435,1.151,2.012,4.01
"356","AT1G03780",0.678,0.158,0.228,0.198,0.169
"357","AT1G03790",0.022,0,0,0,0.16
"358","AT1G03800",0.385,0.18,0.228,0.078,0.224
"359","AT1G03810",0,0,0,0,0
"360","AT1G03820",1.128,0.082,0.112,2.657,0
"361","AT1G03830",0.808,0.657,0.394,0.557,0.314
"362","AT1G03840",0.064,0,0.042,0.052,0
"363","AT1G03850",0.142,2.395,3.29,3.439,11.44
"364","AT1G03860",45.047,59.873,91.978,134.123,171.067
"365","AT1G03870",30.221,8.002,13.925,5.626,0.926
"366","AT1G03880",0,0,0,0,0
"367","AT1G03890",0,0,0,0,0
"368","AT1G03900",36.604,49.829,57.752,84.398,170.988
"369","AT1G03905",1.026,0.962,1.61,5.624,7.303
"370","AT1G03910",10.977,19.465,30.346,33.302,29.61
"371","AT1G03920",0.375,0.477,0.535,0.952,0.738
"372","AT1G03930",11.305,7.851,9.346,11.389,6.626
"373","AT1G04217",2.565,10.711,25.358,43.261,35.492
"374","AT1G03935",2.826,9.386,22.174,49.701,40.091
"375","AT1G04223",2.454,5.444,4.372,22.758,29.473
"376","AT1G03940",0.62,1.362,2.104,7.97,11.075
"377","AT1G04227",0,0,0,0,0
"378","AT1G03950",8.099,7.68,11.133,17.206,14.647
"379","AT1G03960",0.948,1.633,3.436,7.882,4.972
"380","AT1G03970",8.828,17.485,25.536,28.319,38.468
"381","AT1G04233",0,0,0,0,0
"382","AT1G03980",0.048,0.081,0.1,0.162,0.102
"383","AT1G03982",0,0,0,0,0
"384","AT1G03990",1.066,1.548,1.888,2.449,2.017
"385","AT1G04000",3.074,3.57,4.146,3.527,1.828
"386","AT1G04010",1.89,2.416,3.016,3.314,1.522
"387","AT1G04020",2.744,0.576,0.828,0.251,0
"388","AT1G04030",0.686,0.865,1.746,2.712,2.551
"389","AT1G04040",72.987,31.558,36.038,18.937,2.409
"390","AT1G04237",0,0,0.142,0,0.148
"391","AT1G04050",0.829,0.408,0.342,0.576,0.354
"392","AT1G04070",2.377,1.855,4.426,4.844,4.074
"393","AT1G04080",21.67,22.023,21.594,29.259,29.596
"394","AT1G04090",0.447,0.174,0.19,0.178,0.265
"395","AT1G04100",1.38,1.785,1.689,1.78,2.651
"396","AT1G04105",0,0,0.105,0,0
"397","AT1G04110",0.082,0.11,0.084,0.068,0.153
"398","AT1G04120",6.975,7.987,6.963,7.833,5.066
"399","AT1G04243",0,0,0,0,0
"400","AT1G04130",24.717,27.643,25.496,19.587,17.418
"401","AT1G04140",12.654,15.898,21.886,29.318,31.439
"402","AT1G04150",0,0,0,0,0
"403","AT1G04160",1.538,2.926,2.712,1.041,1.49
"404","AT1G04170",35.893,25.977,24.462,27.5,17.425
"405","AT1G04180",0,0.138,0.046,0.124,0.026
"406","AT1G04190",8.412,9.537,9.012,9.867,4.848
"407","AT1G04200",3.489,1.437,1.655,1.095,1.35
"408","AT1G04210",6.522,9.442,10.256,12.868,16.445
"409","AT1G04220",0.521,1.938,0.204,0.348,0.244
"410","AT1G04247",0.267,0.16,0.138,0.118,0.149
"411","AT1G04230",4.04,4.005,5.043,6.777,7.326
"412","AT1G04240",7.472,5.773,5.071,4.107,1.869
"413","AT1G04253",0,0,0,0,0
"414","AT1G04250",53.851,50.887,38.832,17.593,2.612
"415","AT1G04260",2.676,4.654,5.356,6.186,7.812
"416","AT1G04270",216.154,153.008,170.867,126.188,104.632
"417","AT1G04280",0.98,3.471,3.474,4.226,3.975
"418","AT1G04290",1.882,1.174,1.493,1.288,0.447
"419","AT1G04295",0,0,0,0,0
"420","AT1G04300",12.001,19.505,25.523,28.514,35.191
"421","AT1G04310",1.864,2.776,2.107,5.031,9.063
"422","AT1G04320",0,0,0,0,0
"423","AT1G04330",0.177,0.395,0.292,0.05,0.064
"424","AT1G04340",6.519,4.58,6.211,7.974,7.617
"425","AT1G04350",27.825,29.136,24.052,21.922,15.041
"426","AT1G04360",0.118,0.286,0.278,0.254,0.13
"427","AT1G04370",0,0,0,0.046,0
"428","AT1G04380",0.088,0.073,0.022,0.018,0.037
"429","AT1G04257",0,0,0,0,0.174
"430","AT1G04390",1.112,2.914,5.251,6.032,5.074
"431","AT1G04400",13.17,52.402,71.529,99.895,102.078
"432","AT1G04410",407.356,351.937,422.014,379.973,247.097
"433","AT1G04420",128.572,130.353,134.074,191.134,203.553
"434","AT1G04425",0.269,0.405,0.361,0.15,0
"435","AT1G04430",19.389,15.422,14.865,8.569,3.796
"436","AT1G04440",10.002,63.91,116.154,125.341,98.284
"437","AT1G04445",0.035,0.078,0.032,0.118,0.253
"438","AT1G04450",0,0.043,0,0.033,0
"439","AT1G04455",0,0,0,0,0
"440","AT1G04457",0,0,0,0,0
"441","AT1G04470",0.012,0,0.012,0.01,0
"442","AT1G04263",0,0,0,0.332,0
"443","AT1G04480",166.431,179.624,148.499,120.787,111.605
"444","AT1G04267",0.585,1.296,1.476,2.672,3.238
"445","AT1G04273",0.854,1.588,1.672,3.538,0.851
"446","AT1G04277",0.872,2.594,0.598,2.91,1.115
"447","AT1G04490",0.148,0.11,0.096,0.082,0.049
"448","AT1G04500",0.042,0.07,0.24,0.09,0
"449","AT1G04510",13.33,11.982,15.319,19.196,15.471
"450","AT1G04520",13.141,3.094,3.673,0.527,0.144
"451","AT1G04530",73.1,68.713,34.41,17.313,11.493
"452","AT1G04540",1.693,0.49,0.375,0.224,0.057
"453","AT1G04550",20.701,12.928,9.248,7.546,2.494
"454","AT1G04555",2.401,3.166,3.529,5.675,5.293
"455","AT1G04560",0,0,0,0,0
"456","AT1G04570",19.987,8.708,5.465,2.343,2.511
"457","AT1G04580",0.009,0.01,0.044,0.052,0.089
"458","AT1G04590",9.829,9.977,11.222,10.45,6.069
"459","AT1G04600",0.028,0.095,0.136,0.209,0.446
"460","AT1G04610",0,0.026,0,0.02,0
"461","AT1G04620",19.841,12.572,24.789,35.954,20.308
"462","AT1G04625",0,0,0,0,0
"463","AT1G04630",27.302,34.153,31.441,22.48,18.278
"464","AT1G04635",0.679,1.075,1.893,4.05,2.502
"465","AT1G04640",24.288,16.87,15.39,8.523,4.747
"466","AT1G04645",0,0,0,0,0
"467","AT1G04650",0.394,0.228,0.227,0.232,0.058
"468","AT1G04283",0,0,0,0,0
"469","AT1G04660",0.088,0.356,0.087,0.198,0.031
"470","AT1G04670",0,0,0,0,0
"471","AT1G04680",15.064,9.908,10.575,4.184,0.78
"472","AT1G04690",19.52,19.288,17.796,23.712,47.692
"473","AT1G04700",0.1,0.191,0.156,0.2,0.556
"474","AT1G04710",16.36,8.635,8.602,9.428,6.751
"475","AT1G04720",0,0,0.562,0,0
"476","AT1G04730",1.825,0.749,0.638,0.958,1.264
"477","AT1G04750",17.281,19.56,29.709,33.171,39.427
"478","AT1G04287",0,0,0,0,0
"479","AT1G04760",0.368,0.128,0.058,0.07,0.054
"480","AT1G04770",21.651,4.438,3.723,5.345,5.22
"481","AT1G04778",0.29,0,0,0.04,0.041
"482","AT1G04780",5.151,14.523,18.781,21.794,30.395
"483","AT1G04790",5.902,4.869,7.209,8.236,6.34
"484","AT1G04800",29.234,26.535,17.341,2.365,0.81
"485","AT1G04810",12.656,24.382,37.624,45.575,46.707
"486","AT1G04820",53.12,62.194,41.829,22.241,8.322
"487","AT1G04830",5.381,6.335,9.655,11.593,12.705
"488","AT1G04840",0.485,0.238,0.13,0.541,0.6
"489","AT1G04850",25.532,38.966,38.05,49.329,60.148
"490","AT1G04860",4.603,7.18,9.064,11.224,10.038
"491","AT1G04870",7.713,3.763,6.106,7.435,4.747
"492","AT1G04880",0.07,0.103,0.132,0.078,0.069
"493","AT1G04890",0,0,0,0,0
"494","AT1G04293",0,0,0,0,0
"495","AT1G04895",0,0,0,0,0
"496","AT1G04900",3.097,2.336,2.8,1.938,0.911
"497","AT1G04297",0,0,0.064,0.051,0
"498","AT1G04910",4.262,4.705,5.373,7.106,6.197
