Sample name	title	source name	organism	characteristics: Tissue	characteristics: Developmental Stage	characteristics: Ecotype	characteristics: Genotype	characteristics: Treatment	characteristics: Original series ID	characteristics: Replicate Group	molecule	label	platform
GSM266672	Reanalysis of GSM266672	"Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 1"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_11	total RNA	biotin	GPL198
GSM266673	Reanalysis of GSM266673	"Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 2"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_11	total RNA	biotin	GPL198
GSM266674	Reanalysis of GSM266674	"Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 3"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_11	total RNA	biotin	GPL198
GSM266675	Reanalysis of GSM266675	"Arabidopsis, root cells, stele, -Fe, replicate 1"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_14	total RNA	biotin	GPL198
GSM266676	Reanalysis of GSM266676	"Arabidopsis, root cells, stele, -Fe, replicate 2"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_14	total RNA	biotin	GPL198
GSM266677	Reanalysis of GSM266677	"Arabidopsis, root cells, stele, -Fe, replicate 3"	Arabidopsis thaliana	root	1	Col-0	wild type	abiotic stress	GSE10501	GSE10501_14	total RNA	biotin	GPL198
GSM265461	Reanalysis of GSM265461	"Arabidopsis, whole roots, standard conditions, rep 1"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_1	total RNA	biotin	GPL198
GSM265462	Reanalysis of GSM265462	"Arabidopsis, whole roots, standard conditions, rep 2"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_1	total RNA	biotin	GPL198
GSM265463	Reanalysis of GSM265463	"Arabidopsis, whole roots, -Fe, 3 hour, rep 1"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_3	total RNA	biotin	GPL198
GSM265464	Reanalysis of GSM265464	"Arabidopsis, whole roots, -Fe, 3 hour, rep 2"	Arabidopsis thaliana	root	0.7	Col-0	wild type	abiotic stress	GSE10502	GSE10502_3	total RNA	biotin	GPL198
